orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768467128.4378,1.8718,27,32,59,0.0433,0.4296,-7.6986,0.0,0.0,1768467131.1099405,100.0,1,1
10.0,1768467129.7196,1.6323,27,32,59,0.0177,0.4627,-7.905,0.0,0.0,1768467131.8148425,100.0,2,2
11.0,1768467128.7655,3.0955,27,31,58,0.0207,0.4671,-7.4374,0.0,0.0,1768467132.3284814,100.0,3,3
13.0,1768467128.4936,4.387,27,32,59,0.1,1.0612,-7.5518,0.0,0.0,1768467133.942702,100.0,4,4
13.0,1768467129.0009,4.8997,27,32,59,0.0237,0.5632,-7.537,0.0,0.0,1768467134.4642825,100.0,5,5
14.0,1768467128.3966,6.0141,27,32,59,0.0183,1.9817,-6.0042,0.0,0.0,1768467136.394017,100.0,6,6
14.0,1768467129.5153,6.4241,27,31,58,0.4331,1.0699,-6.506,0.0,0.0,1768467137.0095723,100.0,8,8
15.0,1768467128.3884,7.0418,27,32,59,0.9421,1.5787,-6.3795,0.0,0.0,1768467137.0096085,100.0,8,8
14.0,1768467129.6791,6.7693,27,32,59,0.0351,0.6574,-6.5734,0.0,0.0,1768467137.1065886,100.0,9,9
14.0,1768467129.739,7.2205,27,32,59,0.0275,0.6483,-6.1312,0.0,0.0,1768467137.6089063,100.0,10,10
16.0,1768467128.4821,8.9873,27,32,59,0.0201,1.0073,-6.0054,0.0,0.0,1768467138.4778988,100.0,11,11
16.0,1768467129.0285,9.971,27,32,59,0.0373,0.6982,-5.3307,0.0,0.0,1768467139.6993458,100.0,12,12
16.0,1768467129.1892,10.32,27,33,60,0.0209,2.9138,-2.7662,0.0,0.0,1768467142.4246843,100.0,13,13
16.0,1768467130.1766,11.3726,27,32,59,0.8486,1.5822,-3.0452,0.0,0.0,1768467143.1323028,100.0,14,14
18.0,1768467128.4338,15.1568,27,32,59,0.0253,0.763,-2.0802,0.0,0.0,1768467144.3550994,100.0,15,15
10.0,1768467128.5555,2.2868,3283,1025,4308,0.4225,29.6887,21.9755,21.9755,21.9755,1768467160.535744,93.75,15,16
11.0,1768467130.2715,2.0996,4513,1034,5547,0.5979,30.615,21.7146,21.7146,43.6901,1768467162.9913037,88.24,15,17
17.0,1768467129.9544,33.5339,27,1,28,0.0234,0.0496,16.5835,16.5835,60.2736,1768467163.5380003,83.33,15,18
13.0,1768467128.6333,4.7572,3680,1024,4704,0.4693,30.2691,22.0264,22.0264,82.2999,1768467163.6631558,78.95,15,19
16.0,1768467128.6989,9.2806,2955,889,3844,0.395,25.8706,19.1513,19.1513,101.4512,1768467163.8540802,75.0,15,20
18.0,1768467129.3782,34.6203,27,32,59,0.025,0.7586,17.3789,17.3789,118.8301,1768467164.758778,71.43,15,21
14.0,1768467128.7622,6.1587,9835,1027,10862,1.4366,30.2211,22.3798,22.3798,141.2099,1768467165.1527407,68.18,15,22
18.0,1768467129.4153,35.0928,27,32,59,0.0384,0.7637,17.8566,17.8566,159.0665,1768467165.2728944,65.22,15,23
18.0,1768467129.6695,35.3491,27,32,59,0.0283,0.7169,18.066,18.066,177.1325,1768467165.7363431,62.5,15,24
