orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
40.0,1768488030.1937,0.0146,27,31,58,0.0343,0.5127,-39.4727,0.0,0.0,1768488031.3425906,100.0,1,1
158.0,1768488035.195,0.008,27,32,59,0.0181,0.5016,-157.4904,0.0,0.0,1768488035.7059345,100.0,2,2
34.0,1768488020.1846,0.0049,3840,1017,4857,0.5776,15.9315,-18.0636,0.0,0.0,1768488036.1250403,100.0,3,3
70.0,1768488025.1914,0.0049,3405,1024,4429,0.4474,15.8104,-54.1847,0.0,0.0,1768488041.0113182,100.0,4,4
30.0,1768488050.2096,0.0181,27,32,59,0.0308,0.5119,-29.47,0.0,0.0,1768488050.7398064,100.0,5,5
121.0,1768488055.2108,0.01,27,24,51,0.0227,0.399,-120.591,0.0,0.0,1768488055.6201484,100.0,6,6
129.0,1768488040.201,0.0123,3087,1030,4117,0.4003,15.9039,-113.0838,0.0,0.0,1768488056.1216028,100.0,7,7
133.0,1768488060.2117,0.0106,27,32,59,0.0235,0.4794,-132.5101,0.0,0.0,1768488060.7017844,100.0,8,8
102.0,1768488045.2086,0.0093,4513,1030,5543,0.6045,15.6624,-86.3283,0.0,0.0,1768488060.884737,100.0,9,9
102.0,1768488070.2386,0.0097,5583,22,5605,0.7442,1.0828,-100.9075,0.0,0.0,1768488071.3363094,100.0,10,10
139.0,1768488075.2402,0.0082,27,31,58,0.0253,0.4741,-138.5176,0.0,0.0,1768488075.7227461,100.0,11,11
152.0,1768488065.2223,0.0177,3526,1029,4555,0.4799,14.7618,-137.2206,0.0,0.0,1768488080.0058846,100.0,12,12
187.0,1768488085.2587,0.008,3365,318,3683,0.4384,5.6707,-181.3212,0.0,0.0,1768488090.9412084,100.0,13,13
44.0,1768488095.2706,0.0181,27,32,59,0.0193,0.4932,-43.4887,0.0,0.0,1768488095.782217,100.0,14,14
201.0,1768488080.252,0.0213,3271,1029,4300,0.4181,16.0144,-184.9643,0.0,0.0,1768488096.2915332,100.0,15,15
30.0,1768488105.2826,0.018,27,32,59,0.0208,0.4991,-29.483,0.0,0.0,1768488105.7998912,100.0,16,16
102.0,1768488090.2648,0.0135,3559,1028,4587,0.4587,15.7807,-86.2059,0.0,0.0,1768488106.0627136,100.0,17,17
88.0,1768488110.2841,0.0181,27,32,59,0.0182,0.4682,-87.5137,0.0,0.0,1768488110.7707121,100.0,18,18
177.0,1768488100.2772,0.0081,2980,1029,4009,0.3878,14.5652,-162.4267,0.0,0.0,1768488114.8552125,100.0,19,19
142.0,1768488115.2858,0.0274,27,11,38,0.0187,0.1552,-141.8173,0.0,0.0,1768488115.4690018,100.0,20,20
127.0,1768488125.3032,0.008,27,32,59,0.0178,0.4692,-126.5229,0.0,0.0,1768488125.7805874,100.0,21,21
19.0,1768488120.3027,0.0193,3276,1024,4300,0.4356,14.8338,-4.1469,0.0,0.0,1768488135.1602437,100.0,22,22
131.0,1768488135.3167,0.0085,27,32,59,0.0271,0.4707,-130.5208,0.0,0.0,1768488135.796154,100.0,23,23
212.0,1768488130.3159,0.0136,2945,1030,3975,0.3875,15.877,-196.1094,0.0,0.0,1768488146.2106874,100.0,24,24
20.0,1768488155.3487,0.0184,27,33,60,0.0211,0.5515,-19.43,0.0,0.0,1768488155.919009,100.0,25,25
148.0,1768488140.3228,0.0081,3202,1024,4226,0.4175,17.64,-130.3519,0.0,0.0,1768488157.975226,100.0,26,26
180.0,1768488160.3513,0.0183,27,32,59,0.0338,0.5181,-179.4636,0.0,0.0,1768488160.8880067,100.0,27,27
199.0,1768488145.3291,0.0128,3096,1024,4120,0.4009,17.4074,-181.5797,0.0,0.0,1768488162.7531738,100.0,28,28
198.0,1768488165.3525,0.0155,27,32,59,0.0256,0.4823,-197.5022,0.0,0.0,1768488165.8504357,100.0,29,29
52.0,1768488150.3412,0.0126,4788,1027,5815,0.6364,16.5609,-35.4265,0.0,0.0,1768488166.91935,100.0,30,30
109.0,1768488175.3698,0.0113,27,32,59,0.0287,0.476,-108.5127,0.0,0.0,1768488175.8573208,100.0,31,31
32.0,1768488170.3685,0.0213,3151,1025,4176,0.4262,14.8095,-17.1692,0.0,0.0,1768488185.2034168,100.0,32,32
88.0,1768488185.3827,0.008,27,17,44,0.0207,0.2673,-87.7247,0.0,0.0,1768488185.6582837,100.0,33,33
90.0,1768488180.3804,0.0126,3195,1026,4221,0.3985,15.9981,-73.9894,0.0,0.0,1768488196.3956196,100.0,34,34
144.0,1768488200.3996,0.0124,27,32,59,0.0277,0.5033,-143.4843,0.0,0.0,1768488200.9161067,100.0,35,35
127.0,1768488205.4023,0.0185,27,32,59,0.0209,0.5004,-126.4812,0.0,0.0,1768488205.9214225,100.0,36,36
68.0,1768488190.3922,0.0132,3671,1027,4698,0.4811,16.4577,-51.5292,0.0,0.0,1768488206.8672318,100.0,37,37
160.0,1768488195.3983,0.0104,3020,1025,4045,0.3859,15.4201,-144.5695,0.0,0.0,1768488210.8333719,100.0,38,38
45.0,1768488210.408,0.0185,27,32,59,0.0253,0.4678,-44.5136,0.0,0.0,1768488210.8945765,100.0,39,39
69.0,1768488215.4086,0.0236,27,32,59,0.0211,0.4057,-68.5707,0.0,0.0,1768488215.838123,100.0,40,40
195.0,1768488230.4385,0.0079,27,11,38,0.0339,0.2062,-194.7859,0.0,0.0,1768488230.6530082,100.0,41,41
150.0,1768488220.4231,0.0212,3042,1031,4073,0.4097,16.5236,-133.4552,0.0,0.0,1768488236.9720056,100.0,42,42
58.0,1768488225.4371,0.0105,5139,1028,6167,0.7008,17.3904,-40.5992,0.0,0.0,1768488242.8440437,100.0,44,44
98.0,1768488245.4608,0.0082,27,32,59,0.0221,0.4709,-97.521,0.0,0.0,1768488245.9402204,100.0,45,45
22.0,1768488235.4473,0.0136,3326,1027,4353,0.4208,15.4551,-6.5313,0.0,0.0,1768488250.919442,100.0,46,46
56.0,1768488250.4614,0.0183,27,32,59,0.0314,0.4748,-55.5068,0.0,0.0,1768488250.9547431,100.0,47,47
134.0,1768488255.476,0.0212,3009,1024,4033,0.4048,16.9917,-116.9871,0.0,0.0,1768488272.4930818,100.0,48,48
41.0,1768488275.4988,0.0154,27,32,59,0.022,0.5484,-40.4362,0.0,0.0,1768488276.0633638,100.0,49,49
79.0,1768488260.4825,0.0081,3522,1026,4548,0.4594,17.9406,-61.0513,0.0,0.0,1768488278.4356883,100.0,50,50
64.0,1768488280.4999,0.0081,27,32,59,0.0311,0.5098,-63.4821,0.0,0.0,1768488281.0182617,100.0,51,51
119.0,1768488265.4916,0.0137,3730,1024,4754,0.4866,17.5794,-101.4069,0.0,0.0,1768488283.0878553,100.0,52,52
211.0,1768488270.4978,0.0105,3097,1029,4126,0.4027,16.9951,-193.9944,0.0,0.0,1768488287.5079975,100.0,53,53
138.0,1768488290.5211,0.0079,3391,399,3790,0.4453,7.1364,-130.8557,0.0,0.0,1768488297.6683202,100.0,54,54
58.0,1768488300.5279,0.0124,27,32,59,0.023,0.5167,-57.4709,0.0,0.0,1768488301.05758,100.0,55,55
128.0,1768488285.5153,0.0109,5078,1024,6102,0.6658,16.9602,-111.029,0.0,0.0,1768488302.491695,100.0,56,56
122.0,1768488305.5284,0.0103,27,32,59,0.0271,0.4753,-121.5144,0.0,0.0,1768488306.0141373,100.0,57,57
138.0,1768488295.5275,0.0094,3077,1024,4101,0.3971,15.0058,-122.9848,0.0,0.0,1768488310.5468667,100.0,58,58
176.0,1768488310.5296,0.0191,27,32,59,0.0196,0.4057,-175.5752,0.0,0.0,1768488310.954554,100.0,59,59
34.0,1768488315.5523,0.0198,3159,1027,4186,0.4225,13.8014,-20.1788,0.0,0.0,1768488329.377784,100.0,60,60
