orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
40.0,1768808038.2379,0.019,27,32,59,0.0227,0.0227,-39.9583,0.0,0.0,1768808039.1255274,100.0,1,1
158.0,1768808039.239,0.0125,27,32,59,0.03,0.03,-157.9575,0.0,0.0,1768808039.7576585,100.0,2,2
30.0,1768808042.2571,0.0274,27,32,59,0.0283,0.0283,-29.9443,0.0,0.0,1768808042.8494263,100.0,3,3
121.0,1768808043.2586,0.0228,27,14,41,0.0264,0.0264,-120.9509,0.0,0.0,1768808043.5504274,100.0,4,4
133.0,1768808044.259,0.0207,27,32,59,0.0252,0.0252,-132.9541,0.0,0.0,1768808044.84649,100.0,5,5
139.0,1768808047.2763,0.0419,27,32,59,0.0237,0.0237,-138.9343,0.0,0.0,1768808047.9491239,100.0,6,6
44.0,1768808051.2966,0.0572,27,31,58,0.0275,0.0275,-43.9153,0.0,0.0,1768808052.0552745,100.0,7,7
201.0,1768808048.2825,0.0287,3271,139,3410,0.4387,0.4387,-200.5326,0.0,0.0,1768808052.9574802,100.0,8,8
30.0,1768808053.3033,0.0473,27,32,59,0.0241,0.0241,-29.9286,0.0,0.0,1768808054.050696,100.0,9,9
88.0,1768808054.3048,0.0392,27,32,59,0.022,0.022,-87.9389,0.0,0.0,1768808055.0408347,100.0,10,10
142.0,1768808055.3061,0.0395,27,32,59,0.0315,0.0315,-141.9289,0.0,0.0,1768808056.0584276,100.0,11,11
34.0,1768808036.2294,0.005,3840,1028,4868,0.5731,0.5731,-33.422,0.0,0.0,1768808061.102846,100.0,12,12
127.0,1768808057.3132,3.8233,27,32,59,0.0182,0.0182,-123.1585,0.0,0.0,1768808061.8397295,100.0,13,13
70.0,1768808037.2361,0.033,3405,1027,4432,0.4378,0.4378,-69.5291,0.0,0.0,1768808061.9076872,100.0,14,14
131.0,1768808059.3221,2.5772,27,32,59,0.039,0.039,-128.3839,0.0,0.0,1768808063.0268333,100.0,15,15
129.0,1768808040.2496,0.0537,3087,1029,4116,0.4034,0.4034,-128.543,0.0,0.0,1768808066.7724206,100.0,16,16
20.0,1768808063.3416,3.4784,27,32,59,0.0274,0.0274,-16.4942,0.0,0.0,1768808067.5335834,100.0,17,17
102.0,1768808041.2565,0.0377,4513,1031,5544,0.6122,0.6122,-101.3501,0.0,0.0,1768808067.6078033,100.0,18,18
109.0,1768808067.3507,0.2897,27,32,59,0.3632,0.3632,-108.3471,0.0,0.0,1768808068.6837027,100.0,19,19
152.0,1768808045.265,0.008,3526,1026,4552,0.4672,0.4672,-151.5248,0.0,0.0,1768808072.7233894,100.0,20,20
102.0,1768808046.2753,0.049,5583,1030,6613,0.7531,0.7531,-101.1979,0.0,0.0,1768808073.9452946,100.0,21,21
88.0,1768808069.3599,4.5962,27,32,59,0.0181,0.0181,-83.3858,0.0,0.0,1768808074.6373978,100.0,22,22
45.0,1768808074.3817,0.2815,27,32,59,0.0278,0.0278,-44.6908,0.0,0.0,1768808075.3574934,100.0,23,23
187.0,1768808049.2892,0.023,3365,1034,4399,0.4479,0.4479,-186.5291,0.0,0.0,1768808075.976651,100.0,24,24
127.0,1768808073.3788,1.9899,27,32,59,0.0225,0.0225,-124.9876,0.0,0.0,1768808076.0686505,100.0,25,25
102.0,1768808050.2953,0.0097,3559,1026,4585,0.4597,0.4597,-101.5306,0.0,0.0,1768808076.5665944,100.0,26,26
69.0,1768808075.383,0.6327,27,32,59,0.0293,0.0293,-68.338,0.0,0.0,1768808077.0838497,100.0,27,27
144.0,1768808072.3779,3.7568,27,32,59,0.0285,0.0285,-140.2147,0.0,0.0,1768808077.5640786,100.0,28,28
148.0,1768808060.3281,1.6303,3202,578,3780,0.4334,0.4334,-145.9364,0.0,0.0,1768808078.4839706,100.0,29,29
180.0,1768808064.3429,14.1876,27,32,59,0.0258,0.0258,-165.7865,0.0,0.0,1768808079.2201962,100.0,30,30
177.0,1768808052.3023,0.0506,2980,1026,4006,0.4017,0.4017,-176.5477,0.0,0.0,1768808079.9821086,100.0,31,31
19.0,1768808056.3128,0.03,3276,1024,4300,0.4286,0.4286,-18.5414,0.0,0.0,1768808083.9524562,100.0,32,32
56.0,1768808082.4128,2.0275,27,32,59,0.0373,0.0373,-53.9352,0.0,0.0,1768808085.140689,100.0,34,34
79.0,1768808084.4257,0.7794,3522,162,3684,0.4637,0.4637,-77.7569,0.0,0.0,1768808089.1980765,100.0,35,35
41.0,1768808087.4406,1.8034,27,32,59,0.0296,0.0296,-39.167,0.0,0.0,1768808089.9455853,100.0,36,36
52.0,1768808062.3409,0.729,4788,1027,5815,0.6473,0.6473,-50.6237,0.0,0.0,1768808090.6092508,100.0,37,37
64.0,1768808088.4418,1.5688,27,32,59,0.0319,0.0319,-62.3994,0.0,0.0,1768808090.725489,100.0,38,38
98.0,1768808081.4107,9.2513,27,32,59,0.0185,0.0185,-88.7302,0.0,0.0,1768808091.8190386,100.0,39,39
58.0,1768808092.4628,0.5312,27,32,59,0.0374,0.0374,-57.4314,0.0,0.0,1768808093.7016385,100.0,42,42
122.0,1768808093.4652,0.2918,27,32,59,0.0202,0.0202,-121.688,0.0,0.0,1768808094.449797,100.0,43,43
32.0,1768808066.35,1.232,3151,1026,4177,0.4097,0.4097,-30.3583,0.0,0.0,1768808096.300998,100.0,44,44
90.0,1768808068.3574,0.3928,3195,1032,4227,0.4094,0.4094,-89.1978,0.0,0.0,1768808097.4547193,100.0,45,45
68.0,1768808070.3671,2.4199,3671,1028,4699,0.4804,0.4804,-65.0997,0.0,0.0,1768808101.541719,100.0,46,46
150.0,1768808076.3891,0.2167,3042,1026,4068,0.3934,0.3934,-149.3899,0.0,0.0,1768808105.8710122,100.0,47,47
160.0,1768808071.3736,5.756,3020,1024,4044,0.3895,0.3895,-153.8545,0.0,0.0,1768808106.044839,100.0,48,48
58.0,1768808077.398,0.1988,5139,1027,6166,0.704,0.704,-57.0971,0.0,0.0,1768808106.6155305,100.0,49,49
94.0,1768808098.4869,7.4102,27,32,59,0.0291,0.0291,-86.5607,0.0,0.0,1768808107.0770206,100.0,50,50
74.0,1768808106.5374,0.1191,27,32,59,0.0318,0.0318,-73.8491,0.0,0.0,1768808107.7482085,100.0,51,51
199.0,1768808061.3334,17.9006,3096,1032,4128,0.4142,0.4142,-180.6852,0.0,0.0,1768808107.9839737,100.0,52,52
22.0,1768808079.4038,0.5921,3326,1024,4350,0.4331,0.4331,-20.9747,0.0,0.0,1768808108.7787478,100.0,53,53
109.0,1768808107.5384,0.2281,27,32,59,0.0365,0.0365,-108.7353,0.0,0.0,1768808108.9162803,100.0,54,54
159.0,1768808102.5191,6.2977,27,32,59,0.0326,0.0326,-152.6696,0.0,0.0,1768808109.5243156,100.0,55,55
159.0,1768808103.5208,5.414,27,32,59,0.0347,0.0347,-153.5513,0.0,0.0,1768808110.075018,100.0,56,56
198.0,1768808065.3443,44.7606,27,32,59,0.0245,0.0245,-153.215,0.0,0.0,1768808110.8047209,100.0,57,57
138.0,1768808091.4622,15.6639,3077,231,3308,0.4016,0.4016,-121.9344,0.0,0.0,1768808113.8843608,100.0,58,58
119.0,1768808085.431,5.3485,3730,1024,4754,0.4999,0.4999,-113.1515,0.0,0.0,1768808119.689375,100.0,59,59
138.0,1768808090.4558,4.0077,3391,1022,4413,0.4514,0.4514,-133.5408,0.0,0.0,1768808124.119415,100.0,60,60
22.0,1768808122.665,1.5133,27,32,59,0.0243,0.0243,-20.4624,0.0,0.0,1768808124.9859147,100.0,61,61
34.0,1768808095.4718,0.8627,3159,1032,4191,0.4118,0.4118,-32.7255,0.0,0.0,1768808125.8096194,100.0,62,62
28.0,1768808124.6711,0.3319,27,32,59,0.044,0.044,-27.6241,0.0,0.0,1768808125.8307548,100.0,63,63
45.0,1768808096.4793,1.0253,3952,1025,4977,0.5241,0.5241,-43.4506,0.0,0.0,1768808127.6146698,100.0,64,64
65.0,1768808100.5041,1.0659,6059,1026,7085,0.8397,0.8397,-63.0944,0.0,0.0,1768808132.0844736,100.0,65,65
212.0,1768808058.3196,52.4996,2945,756,3701,0.4015,0.4015,-159.0989,0.0,0.0,1768808132.7946627,100.0,66,66
38.0,1768808127.6805,4.4628,27,32,59,0.0202,0.0202,-33.517,0.0,0.0,1768808133.2899218,100.0,67,67
68.0,1768808129.6828,3.6296,27,32,59,0.0375,0.0375,-64.3329,0.0,0.0,1768808134.0954895,100.0,68,68
102.0,1768808097.4857,8.5875,3653,1031,4684,0.4688,0.4688,-92.9437,0.0,0.0,1768808136.8672328,100.0,69,69
97.0,1768808134.7189,2.178,27,32,59,0.0257,0.0257,-94.7963,0.0,0.0,1768808137.6695442,100.0,70,70
151.0,1768808105.5354,2.4648,3347,1032,4379,0.4442,0.4442,-148.091,0.0,0.0,1768808138.497436,100.0,71,71
36.0,1768808137.7349,0.8069,27,32,59,0.0354,0.0354,-35.1577,0.0,0.0,1768808139.328395,100.0,72,72
67.0,1768808109.552,0.0288,3516,1024,4540,0.4699,0.4699,-66.5012,0.0,0.0,1768808139.8049772,100.0,73,73
24.0,1768808138.7355,0.6258,27,32,59,0.0266,0.0266,-23.3476,0.0,0.0,1768808140.5242326,100.0,74,74
141.0,1768808118.6306,21.9591,27,32,59,0.0406,0.0406,-119.0003,0.0,0.0,1768808141.3749294,100.0,75,75
147.0,1768808112.5929,1.3433,3131,1027,4158,0.3979,0.3979,-145.2588,0.0,0.0,1768808144.471779,100.0,76,76
