orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,execution_time,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib
40.0,0,1769134417.4217,0.1321,27,32,59,0.8466,0.4723,0.9724,,2.6954,-39.0213,0.0,0.0,1769134420.2749586,100.0,3,3,0.0,0,0,0,12.58,15.0
20.0,0,1769134417.9639,0.0611,27,32,59,0.7001,0.4874,0.6542,,2.2445,-19.2388,0.0,0.0,1769134420.2840579,100.0,4,4,0.0,0,0,0,13.46,15.0
17.0,1,1769134418.3046,0.0899,3245,0,3245,,,,,0.9671,-15.943,0.0,0.0,1769134420.3045201,100.0,6,6,0.023,5,1,0,13.46,15.0
30.0,0,1769134417.5369,0.1405,27,32,59,0.725,0.483,0.9735,,2.6016,-29.1345,0.0,0.0,1769134420.329518,100.0,6,6,0.0,0,0,0,13.46,15.0
30.0,0,1769134417.7712,0.3837,27,32,59,0.5723,0.4746,0.6512,,2.1353,-29.044,0.0,0.0,1769134420.3297875,100.0,6,6,0.023,5,1,0,13.46,15.0
44.0,0,1769134417.7267,0.0646,27,32,59,0.6081,0.4678,0.9781,,2.4955,-43.3273,0.0,0.0,1769134420.3347318,100.0,6,6,0.0,0,0,0,13.46,15.0
22.0,0,1769134419.2279,1.4285,27,32,59,2.5477,0.0244,0.0299,,3.1686,-18.0238,0.0,0.0,1769134423.828068,100.0,9,9,0.084,5,0,0,14.14,15.0
24.0,0,1769134419.5725,1.3556,27,32,59,2.2756,0.0256,0.0306,,2.8992,-20.3688,0.0,0.0,1769134423.8287292,100.0,9,9,0.084,5,0,0,14.14,15.0
10.0,0,1769134420.9951,0.06,27,32,59,2.1464,0.0261,0.0342,,2.7727,-7.7936,0.0,0.0,1769134423.829176,100.0,9,9,0.084,5,0,0,14.14,15.0
10.0,0,1769134423.529,0.4716,27,32,59,0.0709,0.0495,0.7613,,1.5076,-9.4576,0.0,0.0,1769134425.509267,100.0,10,10,0.108,7,0,0,14.14,15.0
11.0,0,1769134425.362,0.3779,27,32,59,0.0666,0.0283,0.0316,,0.7393,-10.5555,0.0,0.0,1769134426.4801297,100.0,11,11,0.133,9,0,0,14.2,15.0
18.0,0,1769134423.2843,3.3839,27,0,27,,,,,0.0837,-14.5324,0.0,0.0,1769134426.7542617,100.0,12,12,0.134,9,0,0,14.2,15.0
19.0,0,1769134422.5922,4.3895,27,32,59,0.0759,0.0284,0.0306,,0.7375,-14.5346,0.0,0.0,1769134427.7231355,100.0,13,13,0.135,9,0,0,14.2,15.0
22.0,1,1769134418.277,0.25,3326,419,3745,0.8343,0.0315,0.0664,,13.3524,-8.3976,0.0,0.0,1769134431.8924863,100.0,14,14,0.034,8,0,0,13.46,15.0
16.0,0,1769134425.5978,6.4555,27,32,59,0.0714,0.026,0.0301,,0.7537,-9.4731,0.0,0.0,1769134432.8097174,100.0,15,15,0.14,9,0,0,14.2,15.0
19.0,0,1769134423.4486,9.5442,27,32,59,0.0668,0.0297,0.0377,,0.7506,-9.389,0.0,0.0,1769134433.7460554,100.0,16,16,0.141,9,0,0,14.2,15.0
16.0,1,1769134423.2378,0.9075,3015,806,3821,0.3948,0.0303,0.0416,,20.1949,5.1024,5.1024,5.1024,1769134444.3539057,94.12,16,17,0.108,8,0,0,14.2,15.0
32.0,1,1769134418.0175,0.2568,3151,1025,4176,0.4514,0.0306,0.0486,,28.4909,-3.2523,0.0,15.0487,1769134446.7795498,94.74,18,20,0.023,5,1,0,13.46,15.0
34.0,1,1769134417.3719,0.1048,3840,1029,4869,0.5992,0.032,0.0498,,29.2879,-4.6073,0.0,15.0487,1769134446.7800727,94.44,18,20,0.0,0,0,0,12.58,15.0
19.0,1,1769134417.8201,0.0903,3276,1031,4307,0.491,0.0318,0.0503,,28.8561,9.9463,9.9463,15.0487,1769134446.784112,90.0,18,20,0.0,0,0,0,13.46,15.0
25.0,0,1769134419.6134,27.5478,27,32,59,0.1847,0.0319,0.0325,,0.8696,2.7324,2.7324,20.6469,1769134448.0345483,85.71,18,22,0.135,8,0,0,14.2,15.0
11.0,0,1769134433.4812,13.5455,27,32,59,0.3202,0.0332,0.0334,,1.0076,2.8657,2.8657,20.6469,1769134448.0352912,81.82,18,22,0.135,8,0,0,14.2,15.0
22.0,1,1769134419.641,1.1541,3898,1025,4923,2.4055,0.0314,0.0517,,28.6127,7.7668,7.7668,60.1447,1769134449.4225965,78.26,18,25,0.084,5,0,0,14.14,15.0
13.0,1,1769134420.9119,0.292,3194,1030,4224,1.9986,0.0311,0.0485,,28.2046,15.4966,15.4966,60.1447,1769134449.4238913,75.0,18,25,0.084,5,0,0,14.14,15.0
14.0,1,1769134419.1768,1.3487,12339,1029,13368,1.9647,0.0322,0.0508,,28.8858,16.2344,16.2344,60.1447,1769134449.4447598,72.0,18,25,0.045,4,0,0,13.76,15.0
15.0,0,1769134429.7339,18.5271,27,32,59,0.0717,0.0598,0.4676,,1.2266,3.5988,3.5988,63.7435,1769134449.4886885,69.23,18,26,0.136,8,0,0,14.2,15.0
16.0,0,1769134430.7473,18.8793,27,32,59,0.0495,0.0603,0.6239,,1.2949,2.9288,2.9288,66.6723,1769134450.923468,66.67,18,27,0.079,6,0,0,14.2,15.0
18.0,1,1769134421.5912,2.6884,4378,1031,5409,0.6989,0.0316,0.0552,,26.7204,11.4088,11.4088,78.0811,1769134451.0193565,64.29,18,28,0.118,9,0,0,14.2,15.0
21.0,0,1769134425.8777,24.1963,27,32,59,0.3839,0.026,0.0269,,1.0077,3.5802,3.5802,81.6613,1769134451.0831208,62.07,18,29,0.089,8,0,0,14.2,15.0
28.0,0,1769134419.2641,31.9284,27,32,59,0.0699,0.0423,0.05,,0.7259,3.9983,3.9983,85.6596,1769134451.9193506,60.0,18,30,0.082,7,0,0,14.2,15.0
14.0,0,1769134433.4379,17.8334,27,32,59,0.062,0.0273,0.0474,,0.683,3.8954,3.8954,89.555,1769134451.9555738,58.06,18,31,0.082,8,0,0,14.2,15.0
20.0,0,1769134428.1822,23.271,27,31,58,0.0664,0.0253,0.0254,,0.6449,3.3374,3.3374,92.8923,1769134452.0991228,56.25,18,32,0.083,9,0,0,14.2,15.0
26.0,0,1769134422.4691,29.6482,27,32,59,0.0642,0.0545,0.3412,,1.0187,3.7124,3.7124,96.6047,1769134453.1391785,54.55,18,33,0.083,7,0,0,14.2,15.0
13.0,0,1769134436.1116,16.2915,27,32,59,0.2617,0.0321,0.0328,,0.8652,3.5532,3.5532,100.1579,1769134453.2714708,52.94,18,34,0.093,9,0,0,14.2,15.0
24.0,0,1769134425.1421,28.1956,27,32,59,0.0569,0.0637,0.6312,,1.3516,4.2526,4.2526,104.4104,1769134454.6913085,51.43,18,35,0.094,8,0,0,14.2,15.0
13.0,1,1769134427.6599,0.2418,3299,1034,4333,0.3849,0.0318,0.0566,,26.8639,14.1057,14.1057,118.5161,1769134454.7879267,50.0,18,36,0.136,9,0,0,14.2,15.0
11.0,0,1769134438.6082,16.2704,27,32,59,0.0792,0.0577,0.2998,,1.0241,5.3497,5.3497,123.8658,1769134455.903701,48.65,18,37,0.1,8,0,0,14.2,15.0
11.0,0,1769134438.6687,17.426,27,32,59,0.0525,0.0299,0.0337,,0.6913,6.4785,6.4785,130.3443,1769134456.7874181,47.37,18,38,0.11,9,0,0,14.2,15.0
15.0,0,1769134434.7954,22.1282,27,32,59,0.052,0.0295,0.0346,,0.6887,7.1803,7.1803,137.5246,1769134457.6150517,46.15,18,39,0.112,9,0,0,14.2,15.0
22.0,1,1769134420.9847,12.9689,3069,958,4027,0.3733,0.0323,0.0726,,25.3683,16.3372,16.3372,153.8617,1769134459.3450809,45.0,18,40,0.142,9,0,0,14.2,15.0
22.0,1,1769134421.2151,23.3624,2955,703,3658,0.362,0.0323,0.296,,18.9226,20.2851,20.2851,174.1468,1769134463.5190105,43.9,18,41,0.154,9,0,0,14.2,15.0
31.0,1,1769134420.6017,43.1341,3803,0,3803,,,,,0.4476,12.5816,12.5816,186.7284,1769134464.1973865,42.86,18,42,0.117,9,0,0,14.2,15.0
18.0,1,1769134426.082,20.8084,3750,1023,4773,0.4416,0.0304,0.0672,,26.2295,29.0379,29.0379,215.7663,1769134473.139495,41.86,18,43,0.123,7,0,0,14.2,15.0
24.0,1,1769134421.4716,26.9795,4376,1027,5403,0.5306,0.0315,0.0727,,26.2641,29.2436,29.2436,245.0099,1769134474.7386644,40.91,18,44,0.137,9,0,0,14.2,15.0
25.0,1,1769134421.7721,28.0226,3022,1022,4044,0.3699,0.0313,0.2171,,26.4422,29.4648,29.4648,303.9296,1769134476.2518485,40.0,18,46,0.079,7,0,0,14.2,15.0
26.0,1,1769134420.7859,29.1529,3044,1028,4072,0.5199,0.0304,0.0704,,26.302,29.4549,29.4549,303.9296,1769134476.2595263,39.13,18,46,0.089,8,0,0,14.2,15.0
27.0,0,1769134424.9828,51.4253,27,32,59,0.0624,0.0657,0.6425,,1.4136,24.4876,24.4876,328.4172,1769134477.8226802,38.3,18,47,0.114,8,0,0,14.2,15.0
31.0,1,1769134420.8471,54.1346,5236,77,5313,0.6775,0.0356,0.6425,,3.0734,26.208,26.208,354.6252,1769134478.0737848,37.5,18,48,0.122,9,0,0,14.2,15.0
24.0,1,1769134428.4463,49.5984,3245,0,3245,,,,,0.4328,26.0312,26.0312,380.6564,1769134478.4881291,36.73,18,49,0.134,9,0,0,14.2,15.0
19.0,0,1769134434.9655,43.6209,27,32,59,0.2167,0.0297,0.0338,,0.8994,24.8376,24.8376,405.494,1769134479.4891036,36.0,18,50,0.127,9,0,0,14.2,15.0
16.0,1,1769134432.7053,19.5704,3069,1028,4097,0.3843,0.03,0.2371,,27.3153,30.8857,30.8857,436.3798,1769134479.6124816,35.29,18,51,0.084,8,0,0,14.2,15.0
