line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model
28,timsort,1,0.04,0.04,0,1,1769134451.372,34.0,meta-llama/Llama-3.2-1B-Instruct
35,timsort,35,0.48,10.929,0,1,1769134451.372,34.0,meta-llama/Llama-3.2-1B-Instruct
44,timsort,70,0.458,10.929,0,182,1769134439.591,17.096,meta-llama/Llama-3.2-1B-Instruct
49,timsort,103,0.54,10.929,0,380,1769134440.66,12.999,meta-llama/Llama-3.2-1B-Instruct
54,timsort,136,0.659,10.929,0,549,1769134442.449,9.692,meta-llama/Llama-3.2-1B-Instruct
57,timsort,169,0.784,10.929,0,718,1769134443.215,5.441,meta-llama/Llama-3.2-1B-Instruct
64,timsort,202,0.918,10.929,0,891,1769134443.215,0.315,meta-llama/Llama-3.2-1B-Instruct
79,timsort,235,1.026,10.929,0,1075,1769134444.734,-3.286,meta-llama/Llama-3.2-1B-Instruct
89,timsort,267,1.153,10.929,0,1245,1769134449.142,-3.927,meta-llama/Llama-3.2-1B-Instruct
93,timsort,297,1.265,10.929,0,1426,1769134451.033,-7.07,meta-llama/Llama-3.2-1B-Instruct
98,timsort,329,1.383,10.929,0,1595,1769134451.602,-11.564,meta-llama/Llama-3.2-1B-Instruct
102,timsort,360,1.51,10.929,0,1764,1769134451.803,-16.403,meta-llama/Llama-3.2-1B-Instruct
110,timsort,393,1.658,10.929,0,1940,1769134451.803,-21.45,meta-llama/Llama-3.2-1B-Instruct
119,timsort,426,1.807,10.929,0,2110,1769134453.965,-24.292,meta-llama/Llama-3.2-1B-Instruct
124,timsort,459,1.954,10.929,0,2294,1769134455.456,-27.849,meta-llama/Llama-3.2-1B-Instruct
133,timsort,491,2.111,10.929,0,2478,1769134455.956,-32.379,meta-llama/Llama-3.2-1B-Instruct
138,timsort,523,2.277,10.929,0,2649,1769134458.173,-35.274,meta-llama/Llama-3.2-1B-Instruct
142,timsort,555,2.451,13.003,0,2827,1769134458.376,-40.079,meta-llama/Llama-3.2-1B-Instruct
147,timsort,588,2.629,13.003,0,3002,1769134458.411,-45.197,meta-llama/Llama-3.2-1B-Instruct
156,timsort,620,3.343,357.578,0,3185,1769134459.367,-49.338,meta-llama/Llama-3.2-1B-Instruct
163,timsort,654,3.463,357.578,0,3372,1769134460.364,-53.473,meta-llama/Llama-3.2-1B-Instruct
168,timsort,686,3.614,357.578,0,3558,1769134461.864,-57.008,meta-llama/Llama-3.2-1B-Instruct
175,timsort,716,3.766,357.578,0,3724,1769134462.225,-61.67,meta-llama/Llama-3.2-1B-Instruct
178,timsort,747,3.89,357.578,0,3888,1769134462.824,-66.121,meta-llama/Llama-3.2-1B-Instruct
187,timsort,778,4.029,357.578,0,4057,1769134462.856,-71.145,meta-llama/Llama-3.2-1B-Instruct
197,timsort,810,4.185,357.578,0,4216,1769134463.336,-75.746,meta-llama/Llama-3.2-1B-Instruct
209,timsort,843,4.332,357.578,0,4383,1769134464.29,-79.834,meta-llama/Llama-3.2-1B-Instruct
213,timsort,872,4.815,357.578,0,4554,1769134465.986,-83.218,meta-llama/Llama-3.2-1B-Instruct
218,timsort,904,4.937,357.578,0,4707,1769134466.102,-88.198,meta-llama/Llama-3.2-1B-Instruct
223,timsort,936,5.063,357.578,0,4893,1769134466.343,-93.094,meta-llama/Llama-3.2-1B-Instruct
227,timsort,964,5.559,357.578,0,5085,1769134466.543,-97.943,meta-llama/Llama-3.2-1B-Instruct
242,timsort,995,5.702,357.578,0,5234,1769134467.103,-102.54,meta-llama/Llama-3.2-1B-Instruct
251,timsort,1027,5.821,357.578,0,5395,1769134468.588,-106.108,meta-llama/Llama-3.2-1B-Instruct
258,timsort,1058,6.211,357.578,0,5578,1769134469.497,-110.295,meta-llama/Llama-3.2-1B-Instruct
262,timsort,1086,6.338,357.578,0,5751,1769134470.048,-114.875,meta-llama/Llama-3.2-1B-Instruct
266,timsort,1117,6.501,357.578,0,5901,1769134470.048,-119.88,meta-llama/Llama-3.2-1B-Instruct
269,timsort,1145,6.934,357.578,0,6055,1769134470.169,-124.82,meta-llama/Llama-3.2-1B-Instruct
279,timsort,1176,7.062,357.578,0,6211,1769134470.169,-129.976,meta-llama/Llama-3.2-1B-Instruct
292,timsort,1206,7.466,357.578,0,6387,1769134470.718,-134.529,meta-llama/Llama-3.2-1B-Instruct
296,timsort,1237,7.607,357.578,0,6540,1769134472.075,-138.278,meta-llama/Llama-3.2-1B-Instruct
301,timsort,1265,7.959,357.578,0,6712,1769134472.206,-143.206,meta-llama/Llama-3.2-1B-Instruct
305,timsort,1295,8.1,357.578,0,6864,1769134472.486,-147.987,meta-llama/Llama-3.2-1B-Instruct
310,timsort,1323,8.446,357.578,0,7017,1769134472.6,-153.038,meta-llama/Llama-3.2-1B-Instruct
319,timsort,1355,8.557,357.578,0,7171,1769134472.754,-158.026,meta-llama/Llama-3.2-1B-Instruct
329,timsort,1384,8.879,357.578,0,7358,1769134473.606,-162.213,meta-llama/Llama-3.2-1B-Instruct
333,timsort,1416,8.977,357.578,0,7518,1769134474.312,-166.641,meta-llama/Llama-3.2-1B-Instruct
340,timsort,1445,9.316,358.415,0,7696,1769134474.326,-171.758,meta-llama/Llama-3.2-1B-Instruct
346,timsort,1473,9.645,358.415,0,7853,1769134474.745,-176.417,meta-llama/Llama-3.2-1B-Instruct
350,timsort,1503,9.758,358.415,0,8008,1769134475.403,-180.976,meta-llama/Llama-3.2-1B-Instruct
358,timsort,1532,10.048,358.415,0,8177,1769134475.717,-185.802,meta-llama/Llama-3.2-1B-Instruct
365,timsort,1561,10.346,358.415,0,8347,1769134476.463,-190.146,meta-llama/Llama-3.2-1B-Instruct
374,timsort,1591,10.45,358.415,0,8516,1769134476.885,-194.786,meta-llama/Llama-3.2-1B-Instruct
378,timsort,1619,10.755,358.415,0,8670,1769134477.864,-198.85,meta-llama/Llama-3.2-1B-Instruct
382,timsort,1647,11.057,358.415,0,8824,1769134477.915,-203.929,meta-llama/Llama-3.2-1B-Instruct
388,timsort,1674,11.349,358.415,0,8977,1769134478.343,-208.647,meta-llama/Llama-3.2-1B-Instruct
399,timsort,1704,11.452,358.415,0,9119,1769134478.789,-213.213,meta-llama/Llama-3.2-1B-Instruct
410,timsort,1732,11.749,358.415,0,9276,1769134481.143,-215.94,meta-llama/Llama-3.2-1B-Instruct
420,timsort,1760,12.059,390.064,0,9421,1769134482.075,-220.036,meta-llama/Llama-3.2-1B-Instruct
424,timsort,1788,12.317,390.064,0,9570,1769134482.851,-224.366,meta-llama/Llama-3.2-1B-Instruct
431,timsort,1815,12.62,390.064,0,9720,1769134482.93,-229.386,meta-llama/Llama-3.2-1B-Instruct
436,timsort,1842,12.912,390.064,0,9864,1769134482.944,-234.483,meta-llama/Llama-3.2-1B-Instruct
445,timsort,1870,13.186,390.064,0,9863,1769134482.96,-239.617,meta-llama/Llama-3.2-1B-Instruct
452,timsort,1899,13.461,390.064,0,9858,1769134483.573,-244.137,meta-llama/Llama-3.2-1B-Instruct
463,timsort,1929,13.698,390.064,0,9855,1769134483.742,-249.015,meta-llama/Llama-3.2-1B-Instruct
469,timsort,1957,13.954,390.064,0,9848,1769134484.729,-253.166,meta-llama/Llama-3.2-1B-Instruct
478,timsort,1985,14.217,390.064,0,9846,1769134484.927,-258.057,meta-llama/Llama-3.2-1B-Instruct
485,timsort,2013,14.483,405.287,0,9841,1769134485.322,-262.81,meta-llama/Llama-3.2-1B-Instruct
492,timsort,2040,14.746,405.287,0,9838,1769134485.709,-267.511,meta-llama/Llama-3.2-1B-Instruct
500,timsort,2068,14.987,405.287,0,9836,1769134485.814,-272.534,meta-llama/Llama-3.2-1B-Instruct
513,timsort,2095,15.257,405.287,0,9831,1769134486.244,-277.207,meta-llama/Llama-3.2-1B-Instruct
521,timsort,2125,15.428,405.287,0,9822,1769134487.192,-281.317,meta-llama/Llama-3.2-1B-Instruct
529,timsort,2153,15.647,405.287,0,9818,1769134487.327,-286.247,meta-llama/Llama-3.2-1B-Instruct
538,timsort,2181,15.853,405.287,0,9815,1769134487.409,-291.333,meta-llama/Llama-3.2-1B-Instruct
544,timsort,2208,16.035,405.287,0,9809,1769134487.824,-295.938,meta-llama/Llama-3.2-1B-Instruct
553,timsort,2237,16.214,405.287,0,9807,1769134488.058,-300.791,meta-llama/Llama-3.2-1B-Instruct
