orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
30.0,1768808193.631,0.2027,27,32,59,0.1236,0.2238,-29.5735,0.0,0.0,1768808196.6360095,100.0,9,9
158.0,1768808193.097,0.1455,27,32,59,0.1205,0.2081,-157.6464,0.0,0.0,1768808196.7099738,100.0,9,9
139.0,1768808196.5978,1.3794,27,32,59,0.0286,0.1139,-137.5067,0.0,0.0,1768808198.1050642,100.0,10,10
133.0,1768808194.191,1.0786,27,32,59,0.2396,0.3212,-131.6002,0.0,0.0,1768808198.990561,100.0,10,10
121.0,1768808193.859,0.312,27,17,44,0.5509,0.5555,-120.1326,0.0,0.0,1768808199.5126717,100.0,10,10
102.0,1768808196.4958,0.3114,5583,1024,6607,0.4291,3.2701,-98.4185,0.0,0.0,1768808200.135994,100.0,11,11
152.0,1768808195.3519,1.0271,3526,1024,4550,0.3904,3.7875,-147.1855,0.0,0.0,1768808200.1869762,100.0,12,12
34.0,1768808192.714,0.0428,3840,972,4812,0.5036,3.5724,-30.3848,0.0,0.0,1768808200.514109,100.0,13,13
102.0,1768808193.4856,0.1439,4513,876,5389,0.137,2.7605,-99.0956,0.0,0.0,1768808200.564395,100.0,13,13
187.0,1768808198.0168,2.1422,3365,72,3437,0.0767,0.3378,-184.52,0.0,0.0,1768808200.564578,100.0,13,13
129.0,1768808193.2686,0.184,3087,866,3953,0.1917,2.8605,-125.9555,0.0,0.0,1768808200.567038,100.0,13,13
70.0,1768808192.832,0.1045,3405,1024,4429,0.328,3.4284,-66.467,0.0,0.0,1768808200.6488516,100.0,13,13
44.0,1768808200.3098,0.4017,27,32,59,0.0214,0.1047,-43.4936,0.0,0.0,1768808200.818347,100.0,14,14
30.0,1768808200.8823,0.184,27,32,59,0.0256,0.1134,-29.7026,0.0,0.0,1768808201.1820352,100.0,15,15
88.0,1768808201.0682,0.184,27,32,59,0.0243,0.1099,-87.7061,0.0,0.0,1768808201.3658447,100.0,16,16
142.0,1768808201.2541,0.185,27,32,59,0.0235,0.1102,-141.7048,0.0,0.0,1768808201.5513828,100.0,17,17
127.0,1768808201.6184,0.2062,27,32,59,0.0301,0.1312,-126.6626,0.0,0.0,1768808201.9565406,100.0,18,18
131.0,1768808202.0442,0.2429,27,32,59,0.0379,0.1381,-130.619,0.0,0.0,1768808202.4339457,100.0,19,19
