orig_slo,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,execution_time,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count
10.0,1768465484.0279,1.8474,27,32,59,0.0468,0.4326,-7.7201,0.0,0.0,1768465486.702535,100.0,1,1
10.0,1768465485.298,2.6154,27,33,60,0.033,0.4748,-6.9098,0.0,0.0,1768465488.3884494,100.0,2,2
11.0,1768465484.3524,4.5724,27,32,59,0.0253,0.4706,-5.957,0.0,0.0,1768465489.395753,100.0,3,3
13.0,1768465484.083,6.861,27,32,59,0.0204,0.4988,-5.6401,0.0,0.0,1768465491.4430666,100.0,4,4
13.0,1768465484.5873,8.3775,27,32,59,0.0247,0.5529,-4.0696,0.0,0.0,1768465493.5182273,100.0,5,5
14.0,1768465483.9874,9.9885,27,32,59,0.0302,0.5584,-3.4531,0.0,0.0,1768465494.5351138,100.0,6,6
15.0,1768465483.9793,12.016,27,32,59,0.4483,1.0675,-1.9165,0.0,0.0,1768465497.0641844,100.0,7,7
14.0,1768465485.0954,11.9104,27,32,59,0.0373,0.6422,-1.4474,0.0,0.0,1768465497.6488163,100.0,8,8
14.0,1768465485.2583,12.7575,27,32,59,0.0342,0.6396,-0.6029,0.0,0.0,1768465498.655847,100.0,9,9
14.0,1768465485.3169,13.7094,27,30,57,0.031,0.6228,0.3322,0.3322,0.3322,1768465499.6496413,90.0,9,10
16.0,1768465484.0713,15.9647,27,32,59,0.0375,0.6487,0.6135,0.6135,0.9457,1768465500.6856453,81.82,9,11
16.0,1768465484.6147,18.4539,27,32,59,0.0311,0.6882,3.1421,3.1421,4.0878,1768465503.7575543,75.0,9,12
16.0,1768465484.7706,19.3101,27,32,59,0.027,0.6844,3.9945,3.9945,8.0823,1768465504.7657893,69.23,9,13
16.0,1768465485.7458,22.3754,27,32,59,0.0236,0.7696,7.145,7.145,15.2273,1768465508.89248,64.29,9,14
10.0,1768465484.144,2.7589,3283,1024,4307,0.4274,25.7464,18.5053,18.5053,40.8746,1768465512.654052,56.25,9,16
16.0,1768465484.2862,16.7602,2955,452,3407,0.3863,14.5366,15.2968,15.2968,56.1714,1768465515.587384,52.94,9,17
17.0,1768465485.5309,30.6741,27,32,59,0.0397,0.792,14.4662,14.4662,70.6376,1768465516.997769,50.0,9,18
11.0,1768465485.8386,4.0962,4513,1024,5537,0.5931,27.9477,21.0439,21.0439,91.6815,1768465517.887846,47.37,9,19
18.0,1768465484.9588,32.2585,27,32,59,0.032,0.7836,15.042,15.042,106.7235,1768465518.002249,45.0,9,20
18.0,1768465484.9957,33.2315,27,32,59,0.0201,0.7497,15.9811,15.9811,122.7046,1768465518.978305,42.86,9,21
18.0,1768465485.2486,33.9904,27,32,59,0.0316,0.7638,16.7542,16.7542,139.4589,1768465520.0032957,40.91,9,22
13.0,1768465484.221,7.733,3680,1030,4710,0.4806,28.166,22.899,22.899,162.3578,1768465520.123495,39.13,9,23
18.0,1768465485.3772,34.872,27,32,59,0.0418,0.7518,17.6237,17.6237,179.9816,1768465521.0011113,37.5,9,24
18.0,1768465485.393,35.8662,27,32,59,0.0263,0.7366,18.6028,18.6028,198.5844,1768465521.9969094,36.0,9,25
19.0,1768465484.9793,38.3024,27,32,59,0.0365,0.7762,20.0785,20.0785,218.6629,1768465524.0598466,34.62,9,26
14.0,1768465484.3491,10.6364,9835,1027,10862,1.4441,29.8248,26.4612,26.4612,245.1241,1768465524.8208923,33.33,9,27
19.0,1768465485.317,39.984,27,32,59,0.0254,0.7389,21.7228,21.7228,266.8469,1768465526.0415294,32.14,9,28
15.0,1768465485.5537,16.5033,3372,1031,4403,0.4381,29.9497,31.453,31.453,298.2999,1768465532.0100617,31.03,9,29
19.0,1768465485.8554,46.5185,27,32,59,0.0226,0.7624,28.2809,28.2809,326.5808,1768465533.1388788,30.0,9,30
21.0,1768465484.0281,49.3569,27,32,59,0.0269,0.768,29.1249,29.1249,355.7057,1768465534.1548295,29.03,9,31
17.0,1768465483.9071,21.1836,3073,1031,4104,0.3994,29.865,34.0486,34.0486,389.7542,1768465534.959881,28.12,9,32
21.0,1768465484.0498,50.3455,27,32,59,0.0316,0.7667,30.1122,30.1122,419.8664,1768465535.1629405,27.27,9,33
16.0,1768465485.5147,21.5958,3516,1026,4542,0.8772,28.9266,34.5224,34.5224,489.0162,1768465536.041602,25.71,9,35
17.0,1768465484.4074,21.6926,9835,1035,10870,1.4437,29.9349,34.6274,34.6274,489.0162,1768465536.0446742,26.47,9,35
21.0,1768465484.551,51.8674,27,32,59,0.028,0.6468,31.5142,31.5142,520.5304,1768465537.0663483,25.0,9,36
18.0,1768465484.394,25.75,3490,1029,4519,0.4748,28.114,35.864,35.864,556.3944,1768465538.263465,24.32,9,37
18.0,1768465484.4837,28.6907,4033,1028,5061,0.5403,27.763,38.4537,38.4537,627.4819,1768465540.9417663,23.08,9,39
21.0,1768465485.2031,55.2619,27,32,59,0.0262,0.6724,34.9344,34.9344,662.4163,1768465541.1378725,22.5,9,40
22.0,1768465484.2864,57.1888,27,32,59,0.0289,0.6434,35.8322,35.8322,698.2485,1768465542.1191664,21.95,9,41
21.0,1768465485.7862,56.6987,27,32,59,0.0218,0.637,36.3356,36.3356,734.5842,1768465543.1223342,21.43,9,42
22.0,1768465484.8477,58.6477,27,32,59,0.0334,0.6503,37.298,37.298,771.8821,1768465544.1467795,20.93,9,43
23.0,1768465483.9472,61.5708,27,32,59,0.0372,0.6959,39.2668,39.2668,811.1489,1768465546.2148945,20.45,9,44
23.0,1768465484.5335,63.0062,27,32,59,0.0282,0.709,40.7152,40.7152,851.8641,1768465548.2495482,20.0,9,45
19.0,1768465484.4803,37.79,5587,1030,6617,0.7512,26.9574,45.7473,45.7473,897.6114,1768465549.2330632,19.57,9,46
23.0,1768465484.5944,63.9552,27,33,60,0.0396,0.7201,41.6752,41.6752,939.2866,1768465549.2706084,19.15,9,47
23.0,1768465484.681,64.8801,27,32,59,0.0272,0.676,42.5561,42.5561,981.8428,1768465550.2376425,18.75,9,48
19.0,1768465485.1638,39.1267,3556,1029,4585,0.4707,26.0702,46.1969,46.1969,1028.0397,1768465550.3651717,18.37,9,49
19.0,1768465485.7245,40.5858,3556,1031,4587,0.4705,27.4133,48.9991,48.9991,1077.0388,1768465553.7277787,18.0,9,50
20.0,1768465484.8191,42.5018,3605,1026,4631,0.4841,26.9429,49.4447,49.4447,1126.4835,1768465554.267571,17.65,9,51
25.0,1768465484.137,68.4569,7841,35,7876,1.1043,1.8851,45.3421,45.3421,1171.8255,1768465554.4868708,17.31,9,52
20.0,1768465485.3963,50.0109,3301,1028,4329,0.4364,26.7937,56.8046,56.8046,1228.6302,1768465562.2050548,16.98,9,53
21.0,1768465484.6944,52.7357,3317,1031,4348,0.4206,27.7624,59.4981,59.4981,1288.1283,1768465565.1968424,16.67,9,54
26.0,1768465484.3068,81.4239,27,32,59,0.026,0.7406,56.1644,56.1644,1344.2927,1768465566.472695,16.36,9,55
21.0,1768465485.0224,54.4289,4192,1025,5217,0.5562,28.0393,61.4683,61.4683,1405.761,1768465567.4960756,16.07,9,56
26.0,1768465484.9042,82.8481,27,32,59,0.0227,0.7239,57.572,57.572,1463.333,1768465568.47682,15.79,9,57
21.0,1768465485.8587,58.6494,3436,1023,4459,0.4391,28.793,66.4424,66.4424,1529.7754,1768465573.306489,15.52,9,58
