orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,lmcache,vq_id,vq_groups,head_deadline,slack,model,deadlines,lmcache:active_memory_objs_count,lmcache:local_cache_usage(MiB),lmcache:local_storage_usage(MiB),lmcache:lookup_hit_rate,lmcache:pinned_memory_objs_count,lmcache:remote_cache_usage(MiB),lmcache:remote_ping_error_code,lmcache:remote_ping_latency,lmcache:request_cache_hit_rate_count,lmcache:request_cache_hit_rate_sum,lmcache:request_cache_lifespan_count,lmcache:request_cache_lifespan_sum,lmcache:retrieve_hit_rate,lmcache:retrieve_process_tokens_time_count,lmcache:retrieve_process_tokens_time_sum,lmcache:retrieve_speed_count,lmcache:retrieve_speed_sum,lmcache:retrieve_to_gpu_time_count,lmcache:retrieve_to_gpu_time_sum,lmcache:storage_events_done_count,lmcache:storage_events_not_found_count,lmcache:storage_events_ongoing_count,lmcache:store_from_gpu_time_count,lmcache:store_from_gpu_time_sum,lmcache:store_process_tokens_time_count,lmcache:store_process_tokens_time_sum,lmcache:store_put_time_count,lmcache:store_put_time_sum,lmcache:store_speed_count,lmcache:store_speed_sum,lmcache:time_to_lookup_count,lmcache:time_to_lookup_sum,lmcache:time_to_retrieve_count,lmcache:time_to_retrieve_sum,lmcache:time_to_store_count,lmcache:time_to_store_sum
1.0,0,1770280342.8477,0.1326,27,0,27,,,,1.0,,,8.9653,8.0978,8.0978,276.0381,1770280398.1051025,0.0,5,61,0.813,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280340.5503,0.1349,27,32,59,8.1397,0.5022,3.1539,1.0,2.1539,28.95,14.0109,7.2746,7.2746,276.0381,1770280398.1086442,7.14,5,61,0.82,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280334.0504,0.1222,27,32,59,6.2386,3.116,4.0111,1.0,3.0111,31.43,20.4329,5.3607,5.3607,276.0381,1770280398.1090145,10.0,5,61,0.819,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280340.2153,0.1297,27,32,59,4.4691,3.1643,4.04,1.0,3.04,18.18,14.2417,3.5988,3.5988,276.0381,1770280398.1247642,10.34,5,61,0.815,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280346.2792,0.2156,27,32,59,5.541,0.505,0.5565,1.0,0.0,33.33,9.2821,4.7566,4.7566,276.0381,1770280398.1502054,5.36,5,61,0.822,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280336.5611,0.1438,27,32,59,5.8369,3.1052,4.0302,1.0,3.0302,32.35,17.7939,4.9807,4.9807,276.0381,1770280398.1577306,12.5,5,61,0.822,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280340.9009,0.1451,27,28,55,7.7836,0.5293,3.1191,1.0,2.1191,20.0,13.419,6.9287,6.9287,276.0381,1770280398.161398,14.29,5,61,0.815,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280332.5502,0.1751,27,32,59,2.9625,3.0947,4.0007,1.0,3.0007,15.79,21.845,2.1376,2.1376,276.0381,1770280398.1616516,11.11,5,61,0.815,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280346.5233,0.2084,27,32,59,5.2434,0.4771,0.5867,1.0,0.0,25.0,8.9708,4.4519,4.4519,276.0381,1770280398.1672006,5.77,5,61,0.823,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
1.0,0,1770280338.5219,0.1392,27,7,34,6.1631,4.0036,4.0036,1.0,3.0036,50.0,13.6996,5.3023,5.3023,276.0381,1770280398.201272,0.0,5,61,0.812,39,0,,8.77,15.0,lmcache:active_memory_objs_count=279 lmcache:local_cache_usage=2232.0MiB lmcache:local_storage_usage=0.0MiB lmcache:lookup_hit_rate=0.0000 lmcache:pinned_memory_objs_count=0 lmcache:remote_cache_usage=0.0MiB lmcache:remote_ping_error_code=0 lmcache:remote_ping_latency=0 lmcache:request_cache_hit_rate_count=1 lmcache:request_cache_hit_rate_sum=1.0000 lmcache:request_cache_lifespan_count=7 lmcache:request_cache_lifespan_sum=0.241998 lmcache:retrieve_hit_rate=1.0000 lmcache:storage_events_done_count=0 lmcache:storage_events_not_found_count=0 lmcache:storage_events_ongoing_count=0 lmcache:store_from_gpu_time_count=43 lmcache:store_from_gpu_time_sum=0.223159 lmcache:store_process_tokens_time_count=43 lmcache:store_process_tokens_time_sum=0.0350175 lmcache:store_put_time_count=43 lmcache:store_put_time_sum=0.00256164 lmcache:store_speed_count=43 lmcache:store_speed_sum=1.15802e+07 lmcache:time_to_lookup_count=44 lmcache:time_to_lookup_sum=0.00329841 lmcache:time_to_store_count=43 lmcache:time_to_store_sum=0.266974,0,50,1770280348.392,-38.922,meta-llama/Llama-3.2-1B-Instruct,"1770280348.392, 1770280348.515, 1770280348.750, 1770280349.377, 1770280349.757",279,2232.0,0.0,0.0,0,0.0,0,0,1,1.0,7,0.241998,1.0,,,,,,,0,0,0,43,0.223159,43,0.0350175,43,0.00256164,43,11580200.0,44,0.00329841,,,43,0.266974
