line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
29,timsort,1,0.024,0.024,0,118,1769512703.392,-1.386,meta-llama/Llama-3.2-1B-Instruct,
33,timsort,171,0.12,1.1,0,249,1769512703.441,-6.349,meta-llama/Llama-3.2-1B-Instruct,
38,timsort,320,0.177,1.1,0,249,1769512703.441,-6.349,meta-llama/Llama-3.2-1B-Instruct,"1769512703.441, 1769512703.558, 1769512703.623, 1769512703.697, 1769512703.708"
104,timsort,377,0.231,2.693,0,331,1769512704.03,-10.808,meta-llama/Llama-3.2-1B-Instruct,"1769512704.030, 1769512704.069, 1769512704.080, 1769512704.091, 1769512704.103"
256,timsort,851,0.345,2.693,0,1093,1769512705.583,-19.267,meta-llama/Llama-3.2-1B-Instruct,
259,timsort,1493,0.525,2.693,0,1714,1769512705.583,-24.275,meta-llama/Llama-3.2-1B-Instruct,
262,timsort,2093,0.724,3.118,0,2336,1769512705.583,-29.28,meta-llama/Llama-3.2-1B-Instruct,
265,timsort,2685,0.96,5.433,0,2845,1769512705.583,-34.285,meta-llama/Llama-3.2-1B-Instruct,
268,timsort,3133,1.301,431.519,0,3312,1769512705.583,-39.291,meta-llama/Llama-3.2-1B-Instruct,
271,timsort,3604,1.572,431.519,0,3691,1769512705.583,-44.292,meta-llama/Llama-3.2-1B-Instruct,
274,timsort,4011,1.794,431.519,0,4167,1769512705.583,-49.294,meta-llama/Llama-3.2-1B-Instruct,
277,timsort,4364,2.052,431.519,0,4497,1769512705.583,-54.297,meta-llama/Llama-3.2-1B-Instruct,
280,timsort,4775,2.312,431.519,0,4497,1769512705.583,-54.297,meta-llama/Llama-3.2-1B-Instruct,"1769512705.583, 1769512705.594, 1769512705.606, 1769512705.618, 1769512705.629"
283,timsort,5162,2.607,431.519,0,5285,1769512705.583,-64.318,meta-llama/Llama-3.2-1B-Instruct,
286,timsort,5516,2.879,431.519,0,5618,1769512705.583,-69.494,meta-llama/Llama-3.2-1B-Instruct,
289,timsort,5849,3.138,431.519,0,5940,1769512705.583,-74.506,meta-llama/Llama-3.2-1B-Instruct,
292,timsort,6135,3.422,431.519,0,6223,1769512705.583,-79.506,meta-llama/Llama-3.2-1B-Instruct,
295,timsort,6449,3.656,431.519,0,6518,1769512705.583,-84.513,meta-llama/Llama-3.2-1B-Instruct,
298,timsort,6719,3.924,431.519,0,6799,1769512705.583,-89.65,meta-llama/Llama-3.2-1B-Instruct,
301,timsort,6995,4.174,431.519,0,7089,1769512705.583,-94.661,meta-llama/Llama-3.2-1B-Instruct,
304,timsort,7263,4.447,431.519,0,7346,1769512705.583,-99.676,meta-llama/Llama-3.2-1B-Instruct,
307,timsort,7542,4.679,431.519,0,7608,1769512705.583,-104.784,meta-llama/Llama-3.2-1B-Instruct,
310,timsort,7775,4.931,431.519,0,7851,1769512705.583,-109.787,meta-llama/Llama-3.2-1B-Instruct,
313,timsort,8039,5.176,431.519,0,8098,1769512705.583,-114.796,meta-llama/Llama-3.2-1B-Instruct,
316,timsort,8258,5.443,431.519,0,8328,1769512705.583,-120.082,meta-llama/Llama-3.2-1B-Instruct,
319,timsort,8461,5.67,431.519,0,8536,1769512705.583,-125.092,meta-llama/Llama-3.2-1B-Instruct,
322,timsort,8691,5.899,431.519,0,8770,1769512705.583,-130.114,meta-llama/Llama-3.2-1B-Instruct,
325,timsort,8902,6.153,431.519,0,8961,1769512705.583,-135.178,meta-llama/Llama-3.2-1B-Instruct,
328,timsort,9105,6.372,431.519,0,9164,1769512705.583,-140.183,meta-llama/Llama-3.2-1B-Instruct,
331,timsort,9302,6.61,431.519,0,9351,1769512705.583,-145.19,meta-llama/Llama-3.2-1B-Instruct,
334,timsort,9494,6.843,431.519,0,9555,1769512705.583,-150.26,meta-llama/Llama-3.2-1B-Instruct,
337,timsort,9702,7.071,431.519,0,9750,1769512705.583,-155.267,meta-llama/Llama-3.2-1B-Instruct,
340,timsort,9896,7.295,431.519,0,9934,1769512705.583,-160.272,meta-llama/Llama-3.2-1B-Instruct,
343,timsort,10075,7.517,431.519,0,10120,1769512705.583,-165.279,meta-llama/Llama-3.2-1B-Instruct,
346,timsort,10256,7.734,431.519,0,10288,1769512705.583,-170.287,meta-llama/Llama-3.2-1B-Instruct,
349,timsort,10415,7.946,431.519,0,10438,1769512705.583,-175.298,meta-llama/Llama-3.2-1B-Instruct,
352,timsort,10581,8.153,431.519,0,10646,1769512705.583,-180.316,meta-llama/Llama-3.2-1B-Instruct,
355,timsort,10769,8.331,431.519,0,10799,1769512705.583,-185.477,meta-llama/Llama-3.2-1B-Instruct,
358,timsort,10941,8.532,431.519,0,11010,1769512705.583,-190.484,meta-llama/Llama-3.2-1B-Instruct,
361,timsort,11130,8.703,431.519,0,11162,1769512705.583,-195.512,meta-llama/Llama-3.2-1B-Instruct,
364,timsort,11283,8.926,431.519,0,11314,1769512705.583,-200.521,meta-llama/Llama-3.2-1B-Instruct,
367,timsort,11448,9.144,431.519,0,11473,1769512705.583,-205.584,meta-llama/Llama-3.2-1B-Instruct,
370,timsort,11607,9.334,431.519,0,11615,1769512705.583,-210.597,meta-llama/Llama-3.2-1B-Instruct,
373,timsort,11734,9.518,431.519,0,11756,1769512705.583,-215.787,meta-llama/Llama-3.2-1B-Instruct,
376,timsort,11878,9.703,431.519,0,11903,1769512705.583,-221.036,meta-llama/Llama-3.2-1B-Instruct,
379,timsort,12019,9.908,431.519,0,12051,1769512705.583,-226.066,meta-llama/Llama-3.2-1B-Instruct,
382,timsort,12162,10.091,431.519,0,12190,1769512705.583,-231.078,meta-llama/Llama-3.2-1B-Instruct,
385,timsort,12300,10.293,431.519,0,12335,1769512705.583,-236.249,meta-llama/Llama-3.2-1B-Instruct,
388,timsort,12451,10.469,431.519,0,12479,1769512705.583,-241.251,meta-llama/Llama-3.2-1B-Instruct,
391,timsort,12586,10.666,431.519,0,12609,1769512705.583,-246.486,meta-llama/Llama-3.2-1B-Instruct,
394,timsort,12715,10.842,431.519,0,12750,1769512705.583,-251.601,meta-llama/Llama-3.2-1B-Instruct,
397,timsort,12851,11.035,431.519,0,12887,1769512705.583,-256.603,meta-llama/Llama-3.2-1B-Instruct,
400,timsort,12981,11.229,431.519,0,13016,1769512705.583,-261.607,meta-llama/Llama-3.2-1B-Instruct,
