orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769421106.4356,0.0728,27,32,59,12.3134,0.0417,0.0432,1.0,0.0,100.0,13.2834,11.3862,11.3862,179.4491,1769421120.8317811,0.0,1,18,0.0,0,0,0,6.33,15.0,0,324,1769421109.93,-6.453,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421106.8396,0.0386,27,32,59,11.9215,0.0422,0.0452,1.0,0.0,100.0,12.9071,10.9601,10.9601,179.4491,1769421121.3664386,0.0,1,18,0.0,0,0,0,6.33,15.0,0,324,1769421109.93,-6.453,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421106.8602,0.0458,27,32,59,11.8929,0.0552,0.0555,1.0,0.0,100.0,12.875,10.9387,10.9387,179.4491,1769421122.91839,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421107.0118,0.0409,27,32,59,11.7597,0.044,0.0801,1.0,0.0,100.0,12.7295,10.8006,10.8006,179.4491,1769421123.2096496,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421107.2259,0.03,27,32,59,11.5389,0.04,0.042,1.0,0.0,100.0,12.5115,10.5689,10.5689,179.4491,1769421123.2100582,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
200.0,1,1769421106.3229,0.1146,3940,77,4017,12.3629,0.0532,0.9706,200.0,0.0,100.0,15.4063,-184.4791,0.0,179.4491,1769421123.3006327,10.53,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421106.4224,0.0532,27,32,59,12.3373,0.0411,0.0427,1.0,0.0,100.0,13.3033,11.3906,11.3906,179.4491,1769421125.5322309,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421106.3686,0.0694,27,32,59,12.3844,0.0425,0.0494,1.0,0.0,100.0,13.3646,11.4537,11.4537,179.4491,1769421125.5492306,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421107.0647,0.051,27,32,59,11.6782,0.0459,0.0488,1.0,0.0,100.0,12.6672,10.7292,10.7292,179.4491,1769421125.5637493,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
1.0,0,1769421106.3449,0.0938,27,32,59,3.2628,0.0659,9.1022,1.0,8.1022,90.0,13.3189,2.3566,2.3566,179.4491,1769421125.6095815,0.0,2,19,0.0,0,0,0,6.33,15.0,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
