line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.03,0.03,0,110,1769421109.93,-1.413,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,209,0.138,1.673,0,324,1769421109.93,-6.453,meta-llama/Llama-3.2-1B-Instruct,
33,timsort,430,0.21,1.673,0,324,1769421109.93,-6.453,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
46,timsort,442,0.225,1.73,0,442,1769421109.93,-12.488,meta-llama/Llama-3.2-1B-Instruct,"1769421109.930, 1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087"
58,timsort,444,0.227,1.73,0,443,1769421109.962,-21.227,meta-llama/Llama-3.2-1B-Instruct,"1769421109.962, 1769421110.041, 1769421110.052, 1769421110.087, 1769421110.123"
76,timsort,548,0.293,5.309,0,507,1769421111.308,-24.941,meta-llama/Llama-3.2-1B-Instruct,"1769421111.308, 1769421111.367, 1769421111.502, 1769421111.573, 1769421111.706"
85,timsort,625,0.358,5.309,0,577,1769421111.807,-29.488,meta-llama/Llama-3.2-1B-Instruct,"1769421111.807, 1769421111.821, 1769421111.835, 1769421111.849, 1769421111.862"
89,timsort,702,0.422,5.309,0,731,1769421111.821,-39.534,meta-llama/Llama-3.2-1B-Instruct,
92,timsort,783,0.488,5.309,0,815,1769421111.821,-44.582,meta-llama/Llama-3.2-1B-Instruct,
107,timsort,865,0.556,5.309,0,815,1769421111.821,-44.582,meta-llama/Llama-3.2-1B-Instruct,"1769421111.821, 1769421111.835, 1769421111.849, 1769421111.862, 1769421111.987"
111,timsort,993,0.608,5.309,0,930,1769421112.752,-48.656,meta-llama/Llama-3.2-1B-Instruct,"1769421112.752, 1769421113.106, 1769421113.119, 1769421113.163, 1769421113.263"
124,timsort,1088,0.664,5.309,0,1007,1769421113.465,-52.961,meta-llama/Llama-3.2-1B-Instruct,"1769421113.465, 1769421113.506, 1769421113.605, 1769421113.619, 1769421113.660"
135,timsort,1182,0.729,5.309,0,1100,1769421113.912,-57.549,meta-llama/Llama-3.2-1B-Instruct,"1769421113.912, 1769421114.071, 1769421114.112, 1769421114.126, 1769421114.200"
140,timsort,1278,0.797,5.309,0,1194,1769421114.071,-62.415,meta-llama/Llama-3.2-1B-Instruct,"1769421114.071, 1769421114.112, 1769421114.126, 1769421114.200, 1769421114.214"
144,timsort,1363,0.858,5.309,0,1280,1769421114.126,-67.363,meta-llama/Llama-3.2-1B-Instruct,"1769421114.126, 1769421114.200, 1769421114.214, 1769421114.309, 1769421114.322"
151,timsort,1452,0.923,5.309,0,1449,1769421114.322,-77.208,meta-llama/Llama-3.2-1B-Instruct,
154,timsort,1542,0.991,7.232,0,1449,1769421114.322,-77.208,meta-llama/Llama-3.2-1B-Instruct,"1769421114.322, 1769421114.337, 1769421114.351, 1769421114.365, 1769421114.379"
163,timsort,1653,1.064,10.169,0,1547,1769421114.471,-82.083,meta-llama/Llama-3.2-1B-Instruct,"1769421114.471, 1769421114.515, 1769421114.529, 1769421114.543, 1769421114.616"
168,timsort,1745,1.127,10.169,0,1644,1769421114.529,-87.043,meta-llama/Llama-3.2-1B-Instruct,"1769421114.529, 1769421114.543, 1769421114.616, 1769421114.631, 1769421114.644"
175,timsort,1840,1.185,10.169,0,1731,1769421114.631,-91.942,meta-llama/Llama-3.2-1B-Instruct,"1769421114.631, 1769421114.644, 1769421114.687, 1769421114.729, 1769421114.744"
182,timsort,1931,1.252,10.169,0,1912,1769421114.806,-102.001,meta-llama/Llama-3.2-1B-Instruct,
