orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769517259.9522,0.0987,27,0,27,,,,1.0,,,0.2711,-0.6302,0.0,0.0,1769517261.1384916,100.0,1,1,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.6638,0.0945,27,32,59,0.5234,0.137,0.6571,1.0,0.0,100.0,1.4547,-0.3821,0.0,0.0,1769517261.2283325,100.0,4,4,0.0,0,0,0,6.29,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.9576,0.2313,27,32,59,0.1291,0.0945,0.564,1.0,0.0,100.0,1.0451,-0.6397,0.0,0.0,1769517261.319967,100.0,12,12,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.2071,0.1337,27,32,59,0.0785,0.0814,0.6129,1.0,0.0,100.0,0.9643,-0.7878,0.0,0.0,1769517261.334744,100.0,12,12,0.036,15,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.731,0.2349,27,32,59,0.3567,0.1602,0.4955,1.0,0.0,100.0,1.3481,-0.4085,0.0,0.0,1769517261.334864,100.0,12,12,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.7034,0.1515,27,32,59,0.4278,0.1312,0.57,1.0,0.0,100.0,1.3637,-0.4207,0.0,0.0,1769517261.344639,100.0,13,13,0.0,0,0,0,6.35,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.2099,0.2351,27,32,59,0.082,0.0642,0.5235,1.0,0.0,100.0,0.8308,-0.6829,0.0,0.0,1769517261.3500452,100.0,13,13,0.036,17,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.0354,0.2278,27,32,59,0.0924,0.066,0.5036,1.0,0.0,100.0,0.919,-0.6798,0.0,0.0,1769517261.3514264,100.0,13,13,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.9057,0.1182,27,32,59,0.2976,0.1576,0.5056,1.0,0.0,100.0,1.2865,-0.5842,0.0,0.0,1769517261.3576539,100.0,14,14,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.7048,0.1821,27,32,59,0.4339,0.1396,0.5613,1.0,0.0,100.0,1.4732,-0.384,0.0,0.0,1769517261.3769596,100.0,16,16,0.0,0,0,0,6.72,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.6601,0.0972,27,32,59,0.1779,0.4805,0.5543,1.0,0.0,100.0,1.5459,-0.7249,0.0,0.0,1769517261.3790395,100.0,17,17,0.0,0,0,0,6.29,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.7062,0.2147,27,32,59,0.3979,0.191,0.5272,1.0,0.0,100.0,1.4183,-0.3874,0.0,0.0,1769517261.379277,100.0,17,17,0.0,0,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.9549,0.1683,27,32,59,0.1938,0.0911,0.5297,1.0,0.0,100.0,1.177,-0.6379,0.0,0.0,1769517261.3888488,100.0,18,18,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.2086,0.1827,27,32,59,0.0784,0.1241,0.5699,1.0,0.0,100.0,0.9875,-0.7388,0.0,0.0,1769517261.403461,100.0,19,19,0.036,16,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.0729,0.2203,27,32,59,0.0741,0.2607,0.5309,1.0,0.0,100.0,1.064,-0.7056,0.0,0.0,1769517261.4043567,100.0,19,19,0.035,14,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.9536,0.1308,27,32,59,0.2349,0.3228,0.5013,1.0,0.0,100.0,1.3245,-0.6344,0.0,0.0,1769517261.4132702,100.0,21,21,0.033,5,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517259.702,0.1166,27,32,59,0.4606,0.2221,0.5106,1.0,0.0,100.0,1.5745,-0.4228,0.0,0.0,1769517261.4137626,100.0,21,21,0.0,0,0,0,6.29,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.2416,0.2614,27,32,59,0.5297,0.0909,0.1494,1.0,0.0,100.0,0.9061,-0.2089,0.0,0.0,1769517261.416081,100.0,21,21,0.037,18,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.4225,0.9527,27,32,59,0.0984,0.0555,0.1012,1.0,0.0,100.0,0.975,0.0511,0.0511,0.0511,1769517262.3584886,95.45,21,22,0.032,1,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.462,1.0036,27,32,59,0.0555,0.0615,0.0994,1.0,0.0,100.0,0.9013,0.059,0.059,0.1101,1769517262.3698459,91.3,21,23,0.032,1,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.4761,1.0391,27,32,59,0.0602,0.0531,0.1016,1.0,0.0,100.0,0.8829,0.0993,0.0993,0.2094,1769517262.4001777,87.5,21,24,0.032,2,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.5112,1.0702,27,32,59,0.0511,0.0537,0.1066,1.0,0.0,100.0,0.8612,0.1213,0.1213,0.3307,1769517262.4435656,84.0,21,25,0.033,4,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.5155,1.1274,27,32,59,0.061,0.055,0.1118,1.0,0.0,100.0,0.8323,0.1884,0.1884,0.5191,1769517262.4894872,80.77,21,26,0.033,5,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517260.5302,1.1617,27,32,59,0.07,0.0703,0.1086,1.0,0.0,100.0,0.8635,0.2317,0.2317,0.7508,1769517262.5567117,77.78,21,27,0.034,5,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517261.4915,0.2747,27,32,59,0.0689,0.0665,0.0959,1.0,0.0,100.0,0.8524,-0.6564,0.0,0.7508,1769517262.626577,78.57,22,28,0.034,6,1,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517261.4923,0.3276,27,32,59,0.0916,0.0582,0.096,1.0,0.0,100.0,0.878,-0.5808,0.0,0.7508,1769517262.7123737,80.0,24,30,0.035,7,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
1.0,0,1769517261.494,0.4054,27,32,59,0.0501,0.0695,0.1007,1.0,0.0,100.0,0.7981,-0.5444,0.0,0.7508,1769517262.7131217,79.31,24,30,0.035,9,0,0,7.19,15.0,0,1,1769517459.643,200.0,meta-llama/Llama-3.2-1B-Instruct,1769517459.643
