line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.039,0.039,0,1,1769593949.049,200.0,meta-llama/Llama-3.2-1B-Instruct,1769593949.049
41,timsort,140,0.14,3.34,0,168,1769593751.006,-3.116,meta-llama/Llama-3.2-1B-Instruct,
97,timsort,214,0.218,5.492,0,209,1769593752.273,-6.863,meta-llama/Llama-3.2-1B-Instruct,
141,timsort,299,0.263,5.492,0,279,1769593757.433,-6.764,meta-llama/Llama-3.2-1B-Instruct,
191,timsort,378,0.306,5.492,0,339,1769593762.059,-7.198,meta-llama/Llama-3.2-1B-Instruct,
240,timsort,454,0.348,5.492,0,391,1769593765.649,-8.658,meta-llama/Llama-3.2-1B-Instruct,
287,timsort,536,0.395,5.492,0,450,1769593769.849,-9.492,meta-llama/Llama-3.2-1B-Instruct,
338,timsort,616,0.433,5.492,0,506,1769593774.587,-9.798,meta-llama/Llama-3.2-1B-Instruct,
385,timsort,691,0.476,5.492,0,556,1769593779.452,-9.97,meta-llama/Llama-3.2-1B-Instruct,
465,timsort,767,0.52,5.492,0,576,1769593786.986,-7.447,meta-llama/Llama-3.2-1B-Instruct,
541,timsort,840,0.553,5.492,0,592,1769593794.935,-4.558,meta-llama/Llama-3.2-1B-Instruct,
615,timsort,913,0.588,5.492,0,601,1769593803.674,-0.868,meta-llama/Llama-3.2-1B-Instruct,
688,timsort,987,0.616,5.492,0,620,1769593949.702,140.093,meta-llama/Llama-3.2-1B-Instruct,
734,timsort,1076,0.644,5.492,0,699,1769593813.503,-1.137,meta-llama/Llama-3.2-1B-Instruct,
797,timsort,1148,0.677,5.492,0,723,1769593820.421,0.738,meta-llama/Llama-3.2-1B-Instruct,
858,timsort,1226,0.706,5.492,0,775,1769593825.203,0.258,meta-llama/Llama-3.2-1B-Instruct,
902,timsort,1305,0.733,5.492,0,833,1769593830.624,0.677,meta-llama/Llama-3.2-1B-Instruct,
950,timsort,1375,0.767,5.492,0,883,1769593834.14,-0.831,meta-llama/Llama-3.2-1B-Instruct,
996,timsort,1450,0.797,5.492,0,933,1769593839.759,-0.222,meta-llama/Llama-3.2-1B-Instruct,
1041,timsort,1529,0.832,5.492,0,993,1769593844.408,-0.6,meta-llama/Llama-3.2-1B-Instruct,
1098,timsort,1604,0.867,5.492,0,1043,1769593849.106,-1.036,meta-llama/Llama-3.2-1B-Instruct,
1161,timsort,1681,0.904,5.492,0,1070,1769593855.77,0.613,meta-llama/Llama-3.2-1B-Instruct,
1207,timsort,1765,0.94,5.492,0,1141,1769593859.676,-0.547,meta-llama/Llama-3.2-1B-Instruct,
1272,timsort,1839,0.979,5.492,0,1169,1769593865.211,-0.036,meta-llama/Llama-3.2-1B-Instruct,
1314,timsort,1922,1.004,5.492,0,1243,1769593869.54,-0.755,meta-llama/Llama-3.2-1B-Instruct,
1359,timsort,1996,1.038,5.492,0,1292,1769593872.281,-3.023,meta-llama/Llama-3.2-1B-Instruct,
1405,timsort,2068,1.084,22.197,0,1343,1769593877.628,-2.679,meta-llama/Llama-3.2-1B-Instruct,
1448,timsort,2144,1.125,22.197,0,1404,1769593882.44,-2.898,meta-llama/Llama-3.2-1B-Instruct,
1495,timsort,2218,1.162,22.197,0,1463,1769593885.576,-4.79,meta-llama/Llama-3.2-1B-Instruct,
1542,timsort,2291,1.199,22.197,0,1515,1769593890.168,-5.245,meta-llama/Llama-3.2-1B-Instruct,
1596,timsort,2365,1.24,22.197,0,1552,1769593895.599,-4.823,meta-llama/Llama-3.2-1B-Instruct,
