line_idx,algo,calls,avg_ms,max_ms,vq_id,vq_groups,head_deadline,slack,model,deadlines
27,timsort,1,0.035,0.035,0,105,1769404158.304,-1.252,meta-llama/Llama-3.2-1B-Instruct,
30,timsort,231,0.138,0.681,0,105,1769404158.304,-1.252,meta-llama/Llama-3.2-1B-Instruct,"1769404158.304, 1769404158.346, 1769404158.442, 1769404158.455, 1769404158.495"
40,timsort,253,0.158,0.681,0,254,1769404158.304,-11.631,meta-llama/Llama-3.2-1B-Instruct,
54,timsort,260,0.163,0.681,0,254,1769404158.56,-16.413,meta-llama/Llama-3.2-1B-Instruct,
68,timsort,359,0.217,0.721,0,329,1769404159.662,-20.335,meta-llama/Llama-3.2-1B-Instruct,
82,timsort,467,0.277,0.853,0,426,1769404160.205,-24.825,meta-llama/Llama-3.2-1B-Instruct,
86,timsort,546,0.337,1.136,0,504,1769404160.219,-29.84,meta-llama/Llama-3.2-1B-Instruct,
89,timsort,618,0.397,1.272,0,576,1769404160.219,-34.89,meta-llama/Llama-3.2-1B-Instruct,
93,timsort,699,0.464,1.454,0,656,1769404160.232,-39.894,meta-llama/Llama-3.2-1B-Instruct,
97,timsort,776,0.522,1.64,0,732,1769404160.354,-44.771,meta-llama/Llama-3.2-1B-Instruct,
112,timsort,859,0.589,1.743,0,802,1769404161.282,-48.851,meta-llama/Llama-3.2-1B-Instruct,
121,timsort,972,0.651,3.604,0,907,1769404161.606,-53.548,meta-llama/Llama-3.2-1B-Instruct,
134,timsort,1071,0.713,3.604,0,999,1769404162.036,-58.188,meta-llama/Llama-3.2-1B-Instruct,
139,timsort,1178,0.775,3.604,0,1101,1769404162.258,-62.985,meta-llama/Llama-3.2-1B-Instruct,
142,timsort,1278,0.837,3.604,0,1201,1769404162.258,-68.013,meta-llama/Llama-3.2-1B-Instruct,
145,timsort,1377,0.903,5.821,0,1300,1769404162.258,-73.037,meta-llama/Llama-3.2-1B-Instruct,
148,timsort,1470,0.967,5.821,0,1393,1769404162.258,-78.041,meta-llama/Llama-3.2-1B-Instruct,
165,timsort,1671,1.093,7.707,0,1584,1769404162.558,-87.842,meta-llama/Llama-3.2-1B-Instruct,
187,timsort,1756,1.157,9.34,0,1650,1769404163.188,-92.216,meta-llama/Llama-3.2-1B-Instruct,
226,timsort,1832,1.225,9.34,0,1697,1769404176.67,-83.81,meta-llama/Llama-3.2-1B-Instruct,
259,timsort,1915,1.29,9.34,0,1750,1769404179.615,-85.904,meta-llama/Llama-3.2-1B-Instruct,
294,timsort,1995,1.358,9.34,0,1750,1769404179.615,-85.904,meta-llama/Llama-3.2-1B-Instruct,"1769404179.615, 1769404179.642, 1769404179.995, 1769404180.216, 1769404180.337"
329,timsort,2075,1.429,14.17,0,1798,1769404182.467,-88.052,meta-llama/Llama-3.2-1B-Instruct,"1769404182.467, 1769404182.685, 1769404183.001, 1769404183.228, 1769404183.455"
368,timsort,2156,1.497,14.17,0,1890,1769404191.057,-89.534,meta-llama/Llama-3.2-1B-Instruct,
406,timsort,2233,1.556,14.17,0,1931,1769404196.149,-89.448,meta-llama/Llama-3.2-1B-Instruct,
451,timsort,2297,1.603,14.17,0,1960,1769404200.638,-90.002,meta-llama/Llama-3.2-1B-Instruct,
509,timsort,2362,1.65,14.17,0,1967,1769404207.713,-87.942,meta-llama/Llama-3.2-1B-Instruct,
617,timsort,2407,1.681,14.17,0,1967,1769404207.713,-87.942,meta-llama/Llama-3.2-1B-Instruct,"1769404207.713, 1769404207.872, 1769404207.920, 1769404208.359, 1769404208.742"
705,timsort,2462,1.715,14.17,0,1967,1769404218.436,-87.368,meta-llama/Llama-3.2-1B-Instruct,
791,timsort,2528,1.754,14.17,0,1967,1769404218.436,-87.368,meta-llama/Llama-3.2-1B-Instruct,"1769404218.436, 1769404218.504, 1769404218.653, 1769404218.697, 1769404218.800"
869,timsort,2600,1.797,14.17,0,1967,1769404230.819,-85.043,meta-llama/Llama-3.2-1B-Instruct,
943,timsort,2668,1.845,17.08,0,1967,1769404230.819,-85.043,meta-llama/Llama-3.2-1B-Instruct,"1769404230.819, 1769404230.907, 1769404231.028, 1769404231.301, 1769404231.344"
1013,timsort,2742,1.883,17.08,0,1967,1769404238.276,-82.647,meta-llama/Llama-3.2-1B-Instruct,"1769404238.276, 1769404238.307, 1769404238.438, 1769404238.464, 1769404238.516"
