orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769431127.5996,0.0428,27,25,52,6.8177,0.0499,0.0518,1.0,0.0,100.0,7.8352,5.8605,5.8605,100.7265,1769431136.3271286,0.0,0,18,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.6612,0.0392,27,32,59,6.7557,0.057,0.058,1.0,0.0,100.0,8.0381,5.7949,5.7949,100.7265,1769431137.1440697,0.0,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
200.0,1,1769431127.4122,0.0861,3165,74,3239,6.9635,0.0544,0.5289,200.0,0.0,100.0,9.5985,-190.3154,0.0,100.7265,1769431137.1657662,5.26,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.1516,0.0895,27,32,59,1.5405,0.0554,5.6865,1.0,4.6865,75.0,8.4604,0.6299,0.6299,100.7265,1769431138.2072072,0.0,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.8427,0.0332,27,32,59,6.5705,0.0572,0.0614,1.0,0.0,80.0,7.8689,5.6037,5.6037,100.7265,1769431139.2472205,0.0,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.5499,0.0374,27,32,59,6.8653,0.0562,0.0566,1.0,0.0,83.33,8.1435,5.9027,5.9027,100.7265,1769431139.4214325,0.0,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431128.0063,0.3686,27,32,59,6.076,0.0527,0.0586,1.0,0.0,85.71,7.3552,5.4446,5.4446,100.7265,1769431139.5770693,0.0,1,19,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.9935,0.0281,27,32,59,6.4227,0.0464,0.0486,1.0,0.0,87.5,7.7079,5.4508,5.4508,111.0485,1769431140.7976933,0.0,1,20,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.6434,0.0391,27,32,59,6.7691,0.0536,0.059,1.0,0.0,88.89,8.0593,5.8082,5.8082,111.0485,1769431140.9045599,0.0,1,20,0.0,0,0,0,6.29,15.0,0,114,1769431130.756,-1.383,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431128.0193,10.6599,27,32,59,0.6622,0.1585,0.175,1.0,0.0,90.0,1.0034,10.322,10.322,111.0485,1769431141.0076377,5.0,1,20,0.459,14,0,0,9.5,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.2202,0.0325,27,32,59,7.1966,0.0603,0.0622,1.0,0.0,90.91,8.4916,6.229,6.229,111.0485,1769431141.8879251,0.0,1,20,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431128.0677,12.843,27,32,59,0.064,0.1449,0.8241,1.0,0.0,91.67,1.2312,11.907,11.907,122.9555,1769431142.6099946,4.76,1,21,0.448,13,0,0,9.5,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.6979,0.0329,27,32,59,6.7287,0.0553,0.0581,1.0,0.0,92.31,8.0207,5.7616,5.7616,122.9555,1769431142.665131,0.0,1,21,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
200.0,1,1769431128.1117,13.1405,2664,0,2664,,,,200.0,,,2.4521,-184.4074,0.0,122.9555,1769431144.1854472,9.09,2,22,0.452,14,0,0,9.5,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.2318,0.0893,27,32,59,7.1334,0.0567,0.0651,1.0,0.0,92.86,8.4367,6.2227,6.2227,122.9555,1769431144.2054532,0.0,2,22,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.331,0.0385,27,32,59,7.097,0.0521,0.056,1.0,0.0,93.33,8.3742,6.1355,6.1355,122.9555,1769431144.220768,0.0,2,22,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.1762,0.0663,27,32,59,7.2232,0.0516,0.0545,1.0,0.0,93.75,8.5188,6.2895,6.2895,122.9555,1769431144.7839096,0.0,2,22,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.7901,0.0469,27,32,59,6.6218,0.0519,0.0519,1.0,0.0,94.12,7.9282,5.6687,5.6687,122.9555,1769431145.8873434,0.0,2,22,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.6216,0.043,27,32,59,6.8042,0.0484,0.0519,1.0,0.0,94.44,8.0714,5.8472,5.8472,122.9555,1769431145.9975345,0.0,2,22,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.2505,0.0939,27,32,59,7.1039,0.0598,0.0634,1.0,0.0,94.74,8.3901,6.1978,6.1978,137.5289,1769431146.0638108,0.0,2,23,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431128.1245,13.8081,27,32,59,1.7652,0.5371,0.6017,1.0,0.0,95.0,4.0976,14.5733,14.5733,152.0251,1769431146.55606,8.7,2,24,0.453,14,0,0,9.5,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431127.6796,0.0373,27,32,59,6.7481,0.0479,0.0497,1.0,0.0,95.24,8.0417,5.7854,5.7854,152.0251,1769431147.2362046,0.0,2,24,0.0,0,0,0,6.29,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
1.0,0,1769431128.1854,13.9354,27,31,58,1.5608,0.6073,0.6841,1.0,0.0,95.45,3.9767,14.4962,14.4962,152.0251,1769431147.2441077,8.33,2,24,0.454,14,0,0,9.5,15.0,0,241,1769431130.756,-10.166,meta-llama/Llama-3.2-1B-Instruct,"1769431130.756, 1769431130.798, 1769431130.891, 1769431130.903, 1769431130.943"
