orig_slo,slo_type,insertion_time,wait_time,prompt_tok,out_tok,total_tok,ttft,tbt_p95,tbt_p99,tbt_slo,tbt_violation,tbt_success_rate_pct,ttlt,diff,violation,total_violation,finished_time,success_rate_pct,success_count,processed_count,kv,run_cnt,wait_cnt,swap_cnt,vram_used_gib,vram_total_gib,vq_id,vq_groups,head_deadline,slack,model,deadlines
1.0,0,1769533938.0123,1.9001,27,28,55,0.071,0.0211,0.4871,1.0,0.0,100.0,0.6194,0.9712,0.9712,28.9463,1769533940.604472,28.12,18,65,0.033,2,0,0,6.6,15.0,0,1,1769534136.215,200.0,meta-llama/Llama-3.2-1B-Instruct,1769534136.215
1.0,0,1769533937.7227,0.5207,27,0,27,,,,1.0,,,0.3189,-0.1604,0.0,28.9463,1769533940.604636,100.0,18,65,0.045,44,1,0,6.6,15.0,0,1,1769534136.215,200.0,meta-llama/Llama-3.2-1B-Instruct,1769534136.215
1.0,0,1769533938.0136,1.9416,27,32,59,0.0507,0.0507,0.5783,1.0,0.0,100.0,0.6954,0.9923,0.9923,29.9386,1769533940.6704237,27.27,18,66,0.033,2,1,0,6.6,15.0,0,1,1769534136.215,200.0,meta-llama/Llama-3.2-1B-Instruct,1769534136.215
1.0,0,1769533938.0109,1.3976,27,32,59,0.4492,0.0558,0.5057,1.0,0.0,100.0,1.179,0.8469,0.8469,29.9386,1769533940.694437,27.69,18,66,0.066,62,0,0,6.6,15.0,0,1,1769534136.215,200.0,meta-llama/Llama-3.2-1B-Instruct,1769534136.215
1.0,0,1769533936.7768,0.1549,27,32,59,1.512,0.2762,0.3237,1.0,0.0,100.0,2.7095,0.6668,0.6668,29.9386,1769533942.325654,31.37,18,66,0.0,0,0,0,6.29,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
1.0,0,1769533936.7423,0.1137,27,32,59,1.5921,0.2465,0.2758,1.0,0.0,100.0,2.8773,0.7058,0.7058,29.9386,1769533944.2415626,28.33,18,66,0.0,0,0,0,6.29,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
1.0,0,1769533936.9893,0.2711,27,32,59,1.1511,0.2467,0.2977,1.0,0.0,100.0,2.357,0.4222,0.4222,29.9386,1769533944.2470381,31.91,18,66,0.0,0,0,0,6.29,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
1.0,0,1769533937.6812,0.4748,27,32,59,0.3424,0.1168,0.4192,1.0,0.0,100.0,1.3645,-0.1828,0.0,29.9386,1769533944.7184331,32.26,18,66,0.045,44,1,0,6.6,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
1.0,0,1769533936.5029,0.2552,27,32,59,1.6568,0.2334,0.2638,1.0,0.0,100.0,2.6687,0.9119,0.9119,29.9386,1769533944.719238,30.77,18,66,0.0,0,0,0,6.29,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
1.0,0,1769533936.4958,0.0882,27,20,47,1.8265,0.2199,0.2199,1.0,0.0,100.0,2.5697,0.9147,0.9147,29.9386,1769533945.6563013,50.0,18,66,0.0,0,0,0,6.29,15.0,0,79,1769533939.262,-2.583,meta-llama/Llama-3.2-1B-Instruct,"1769533939.262, 1769533939.264, 1769533939.299, 1769533939.331, 1769533939.332"
