mode,ts,event,t
native_disk,1772729034.327556,serialize,1.8810558319091797
native_disk,1772729034.327676,serialize,1.8811759948730469
native_disk,1772729034.617361,serialize,2.170861005783081
native_disk,1772729034.617593,serialize,2.171092987060547
native_disk,1772729035.678446,serialize,3.2319459915161133
native_disk,1772729035.678523,serialize,3.232023000717163
native_disk,1772729035.678879,serialize,3.2323789596557617
native_disk,1772729035.684366,serialize,3.237865924835205
native_disk,1772729035.686039,serialize,3.2395389080047607
native_disk,1772729035.689929,serialize,3.243428945541382
native_disk,1772729035.690228,serialize,3.243727922439575
native_disk,1772729035.693346,serialize,3.2468459606170654
native_disk,1772729035.695077,serialize,3.2485768795013428
native_disk,1772729035.698166,serialize,3.2516658306121826
native_disk,1772729035.698273,serialize,3.251772880554199
native_disk,1772729035.701895,serialize,3.25539493560791
native_disk,1772729035.706116,serialize,3.259615898132324
native_disk,1772729035.706389,serialize,3.2598888874053955
native_disk,1772729035.707014,serialize,3.2605140209198
native_disk,1772729035.709819,serialize,3.2633190155029297
native_disk,1772729035.714057,serialize,3.26755690574646
native_disk,1772729035.715006,serialize,3.2685060501098633
native_disk,1772729035.715079,serialize,3.2685790061950684
native_disk,1772729035.716282,serialize,3.2697818279266357
native_disk,1772729035.721128,serialize,3.274627923965454
native_disk,1772729035.722142,serialize,3.275641918182373
native_disk,1772729035.722213,serialize,3.2757129669189453
native_disk,1772729036.086373,serialize,3.6398730278015137
native_disk,1772729036.086488,serialize,3.6399879455566406
native_disk,1772729036.086116,serialize,3.639616012573242
native_disk,1772729036.090885,serialize,3.6443848609924316
native_disk,1772729036.09658,serialize,3.6500799655914307
native_disk,1772729036.097971,serialize,3.651470899581909
native_disk,1772729036.739557,serialize,4.293056964874268
native_disk,1772729036.738932,serialize,4.292431831359863
native_disk,1772729036.743413,serialize,4.296912908554077
native_disk,1772729036.743176,serialize,4.29667592048645
native_disk,1772729036.752865,serialize,4.306365013122559
native_disk,1772729036.752173,serialize,4.305672883987427
native_disk,1772729036.754713,serialize,4.308212995529175
native_disk,1772729036.755404,serialize,4.308903932571411
native_disk,1772729036.769499,serialize,4.322999000549316
native_disk,1772729036.769616,serialize,4.323115825653076
native_disk,1772729036.769892,serialize,4.323391914367676
native_disk,1772729036.769834,serialize,4.323333978652954
native_disk,1772729036.779349,serialize,4.332849025726318
native_disk,1772729036.938109,serialize,4.4916088581085205
native_disk,1772729036.93863,serialize,4.4921300411224365
native_disk,1772729037.369866,serialize,4.923365831375122
native_disk,1772729037.369252,serialize,4.9227519035339355
native_disk,1772729037.370063,serialize,4.923563003540039
native_disk,1772729037.561018,serialize,5.1145179271698
native_disk,1772729037.561188,serialize,5.114687919616699
native_disk,1772729038.377268,serialize,5.930768013000488
native_disk,1772729038.377733,serialize,5.931232929229736
native_disk,1772729038.381484,serialize,5.934983968734741
native_disk,1772729038.381719,serialize,5.935219049453735
native_disk,1772729038.38996,serialize,5.943459987640381
native_disk,1772729038.390745,serialize,5.944244861602783
native_disk,1772729038.392347,serialize,5.945847034454346
native_disk,1772729038.393403,serialize,5.9469029903411865
native_disk,1772729038.397885,serialize,5.951385021209717
native_disk,1772729038.400975,serialize,5.954474925994873
native_disk,1772729038.400766,serialize,5.954265832901001
native_disk,1772729038.401852,serialize,5.955351829528809
native_disk,1772729038.407724,serialize,5.961223840713501
native_disk,1772729038.408806,serialize,5.962306022644043
native_disk,1772729038.409615,serialize,5.963114976882935
native_disk,1772729038.412655,serialize,5.966155052185059
native_disk,1772729038.417678,serialize,5.97117805480957
native_disk,1772729038.417773,serialize,5.971272945404053
