mode,insertion_ts,finished_ts,TTFT,TBT_p95,TBT_p99,TTLT,out_tok,t_finish,t_insert
native_dram,1772767065.3183,1772767070.7196586,,,,2.559,,5.553358554840088,0.15199995040893555
native_dram,1772767065.2666,1772767070.850063,,,,2.8213,,5.683763027191162,0.10029983520507812
native_dram,1772767065.7609,1772767071.0103254,,,,2.6177,,5.844025373458862,0.5945999622344971
native_dram,1772767065.599,1772767071.2651374,2.5028,0.5217,0.5217,3.554,,6.098837375640869,0.43269991874694824
native_dram,1772767065.6098,1772767071.310745,2.4306,0.5184,0.5184,3.4285,,6.144444942474365,0.4435000419616699
native_dram,1772767065.6822,1772767071.3689446,2.0935,0.5381,0.5381,3.1688,,6.20264458656311,0.5158998966217041
native_dram,1772767065.6177,1772767071.4826908,2.2523,0.5251,0.5251,3.2698,,6.316390752792358,0.4514000415802002
native_dram,1772767065.6883,1772767071.5431643,1.9506,0.511,0.511,3.0141,,6.376864194869995,0.5219998359680176
native_dram,1772767065.7003,1772767073.9511244,1.802,0.526,0.526,3.2549,,8.78482437133789,0.5339999198913574
native_dram,1772767065.8818,1772767074.189258,1.9913,0.354,0.354,2.5012,,9.022958040237427,0.7154998779296875
native_dram,1772767065.8181,1772767074.2263067,2.2673,0.3465,0.3465,2.8255,,9.060006618499756,0.6517999172210693
native_dram,1772767065.8131,1772767074.2535334,2.3837,0.2173,0.2173,2.8604,,9.087233304977417,0.6468000411987305
native_dram,1772767065.908,1772767074.2936811,0.7013,0.118,0.118,0.9562,,9.127381086349487,0.7416999340057373
native_dram,1772767065.9007,1772767074.298937,1.5812,0.2054,0.2054,2.0569,,9.132637023925781,0.7344000339508057
native_dram,1772767065.7663,1772767074.7285326,2.5428,0.2344,0.2344,3.0057,,9.562232494354248,0.5999999046325684
native_dram,1772767065.9394,1772767075.2035613,0.5736,0.1339,0.1339,0.841,,10.037261247634888,0.7730998992919922
native_dram,1772767065.7522,1772767076.4390821,2.1963,0.532,0.532,3.4002,,11.27278208732605,0.585899829864502
native_dram,1772767065.9994,1772767077.541426,,,,0.2999,,12.375125885009766,0.8330998420715332
native_dram,1772767065.1663,1772767077.9461935,1.9238,1.0619,1.0619,4.5329,,12.779893398284912,0.0
native_dram,1772767065.3253,1772767078.1050227,2.4244,0.6569,0.6569,4.0504,,12.938722610473633,0.15899991989135742
